member_index,method,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,y_amplitude_km,z_amplitude_km,curve_residual,closure_error,curve_jacobi_span,max_temporal_jacobi_drift,continuation_step,newton_iterations
0,natural-amplitude,3.1389,0.0002499999999999998,2.768881173038055,12.02248205333123,0.6381001436786238,9.846707244034228,31751.08908098745,23164.21129727881,1.339998362597837e-12,1.018619598818213e-12,4.440892098500626e-16,1.332267629550188e-15,nan,7
1,natural-amplitude,3.1389,0.0005000000000000013,2.768892050369604,12.02252928270482,0.6380567006369553,9.847377671776265,31837.32047270325,23270.53329404187,1.598583059508151e-12,1.000916702874664e-12,1.77635683940025e-15,1.332267629550188e-15,nan,8
2,natural-amplitude,3.1389,0.0007499999999999999,2.768910166157958,12.02260794145785,0.6379843460838601,9.848494474429769,31920.7408466196,23387.64882005591,1.389696271862855e-12,1.507488581088363e-12,1.509903313490213e-14,8.881784197001252e-16,nan,11
3,natural-amplitude,3.1389,0.001000000000000055,2.768934921499718,12.02271542915178,0.6378854694962985,9.850021058076548,32049.65125085565,23521.08843495105,6.598221200700891e-12,6.418201661705909e-12,6.439293542825908e-14,1.332267629550188e-15,nan,18
4,pseudo-arclength,3.1389,0.001127775154455989,2.768950674499616,12.02278382867733,0.6378225476590819,9.850992772582208,32093.71921120508,23571.55606905446,4.469254827477811e-10,4.47517515846308e-10,4.139799614222284e-12,1.332267629550188e-15,0.0007832543104694286,19
5,pseudo-arclength,3.1389,0.001252144721093471,2.768967823580367,12.02285828998595,0.6377540471183987,9.85205085811571,32136.52656253546,23620.53668980601,1.449562102925219e-10,1.445839909147864e-10,2.144950883575802e-13,1.332267629550188e-15,0.0007832543104694286,3
6,pseudo-arclength,3.1389,0.001401352154690268,2.768990760792668,12.02295788336177,0.6376624235222295,9.853466466588099,32187.7846484872,23679.13111541956,4.144335958751687e-10,4.147708990470085e-10,4.143352327901084e-13,8.881784197001252e-16,0.0009399051725633143,3
7,pseudo-arclength,3.1389,0.001580285614144089,2.769021666165474,12.02309207449049,0.6375389651159558,9.855374574692542,32249.12669501417,23749.17411803852,1.776650470724597e-09,1.776459756592079e-09,1.356248446882091e-12,1.332267629550188e-15,0.001127886207075977,3
8,pseudo-arclength,3.1389,0.001794754639786291,2.769063591032561,12.02327411226338,0.6373714763963977,9.857964373780529,32322.48075977263,23832.82219053909,1.179241934507001e-12,1.612877904359444e-12,1.231903468124074e-12,1.332267629550188e-15,0.001353463448491172,4
9,pseudo-arclength,3.1389,0.002051642100691708,2.769120810514131,12.02352255925236,0.6371428667069881,9.86150145516598,32410.11137636769,23932.59503305909,9.452204847632471e-13,1.279456975738695e-12,2.425171174991192e-12,1.332267629550188e-15,0.001624156138189407,4
10,pseudo-arclength,3.1389,0.002359063914707049,2.769199312108889,12.0238634131768,0.6368291918238873,9.866358809941579,32514.65869412064,24051.4124225998,1.446336072839107e-12,5.161792574933476e-13,4.917399820669743e-12,1.332267629550188e-15,0.001948987365827288,4
11,pseudo-arclength,3.1389,0.002726526543061741,2.76930746470271,12.02433301173917,0.6363969688918018,9.873059763500907,32639.16960752648,24192.61980418756,1.619512428094676e-12,1.618469756768404e-12,1.02695629777827e-11,1.332267629550188e-15,0.002338784838992746,4
12,pseudo-arclength,3.1389,0.003165062580102353,2.769456918838986,12.02498194159888,0.6357995554092541,9.882336742332573,32787.11086161611,24359.99147668965,9.199118864177081e-12,8.790925477472273e-12,2.228928153158449e-11,1.332267629550188e-15,0.002806541806791294,4
13,pseudo-arclength,3.1389,0.003687313120265387,2.769663787941813,12.02588016724335,0.634972382739724,9.895210371306923,32962.34921988736,24557.69523468104,1.521017645355129e-10,1.514017561250724e-10,6.665645813086485e-11,1.332267629550188e-15,0.003367850168149553,4
14,pseudo-arclength,3.1389,0.004307512447346617,2.769950143638075,12.02712352367652,0.6338268926847932,9.913093590215114,33169.0780597776,24790.19726655534,1.051931642854653e-12,1.463340904492908e-12,1.056403853283427e-10,1.332267629550188e-15,0.004041420201779463,5
15,pseudo-arclength,3.1389,0.005041320688905545,2.770345814715612,12.02884152749519,0.6322431778528935,9.937925037827011,33411.66558134206,25062.08320173596,7.417043077108097e-13,1.272152400672274e-12,2.374416219197428e-10,8.881784197001252e-16,0.004849704242135356,5
16,pseudo-arclength,3.1389,0.005905456122289957,2.770890401027582,12.03120612126176,0.6300616242744479,9.972334554441456,33694.40125316467,25377.77611333974,1.810078876352706e-10,1.809987834545463e-10,5.389506618769246e-10,1.332267629550188e-15,0.005819645090562427,5
17,pseudo-arclength,3.1389,0.006917115730546084,2.771635306897197,12.03444050254763,0.6270742243003189,10.01984304838918,34021.13049335079,25741.14959209855,1.019416338729733e-12,1.19304226624807e-12,1.229820245640667e-09,1.332267629550188e-15,0.006983574108674911,6
18,pseudo-arclength,3.1389,0.008093258436434558,2.772645506900155,12.03882679096047,0.6230165469571423,10.08510181289264,34394.79687962557,26155.06905595191,5.019559512395171e-10,5.022213636823991e-10,2.807296617390875e-09,1.332267629550188e-15,0.008380288930409893,6
19,pseudo-arclength,3.1389,0.009449949535102845,2.774000759480053,12.04471129766239,0.6175612517740728,10.17418966803671,34816.95074341383,26620.93707040031,1.101616202571496e-12,2.182106570114994e-12,6.369394345284718e-09,1.332267629550188e-15,0.01005634671649187,8
20,pseudo-arclength,3.1389,0.01074826255206281,2.775484938527428,12.05115560308609,0.6115713552203885,10.27383845490172,35211.35541609789,27054.88659477927,9.957341400603138e-13,1.448186085069601e-12,1.260223658761106e-08,1.332267629550188e-15,0.01005634671649187,8
21,pseudo-arclength,3.1389,0.01199149027794258,2.777074094702359,12.05805571919764,0.6051392132718126,10.38304107447974,35579.59489963057,27459.28370844483,1.06249993222406e-12,2.387869031423351e-12,2.248234576285313e-08,1.77635683940025e-15,0.01005634671649187,8
22,pseudo-arclength,3.1389,0.01318421730073448,2.778749320119458,12.06532954795869,0.5983373311906844,10.50107519561937,35923.62258574966,27836.75442886351,4.468956374924177e-11,4.450079859473764e-11,3.698389994255535e-08,1.332267629550188e-15,0.01005634671649187,7
23,pseudo-arclength,3.1389,0.01433107454769115,2.780495318737632,12.0729106739588,0.591224047837024,10.62741837069456,36249.1204411541,28189.7609212135,1.589235524673897e-12,1.310218598956163e-12,5.697849347896522e-08,1.332267629550188e-15,0.01005634671649187,7
24,pseudo-arclength,3.1389,0.01543648620882591,2.78229969786529,12.08074528813109,0.5838463145369495,10.76171100294228,36560.22875755849,28520.53431063702,1.288663593067455e-12,1.297948416515956e-12,8.313780508473201e-08,1.332267629550188e-15,0.01005634671649187,7
25,pseudo-arclength,3.1389,0.01650455663126418,2.784152361193205,12.0887895523009,0.5762420711374784,10.9037253992525,36864.23214718278,28831.05857662033,1.61681210953747e-12,1.6548111074385e-12,1.15846005677156e-07,1.332267629550188e-15,0.01005634671649187,7
26,pseudo-arclength,3.1389,0.0175390341925074,2.786045015822649,12.09700745870194,0.5684421731597261,11.05334122599324,37152.70375517064,29123.07971692421,9.322175255756186e-10,9.317218517290136e-10,1.551296047175299e-07,1.332267629550188e-15,0.01005634671649187,6
