member_index,curve_samples,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,curve_residual,curve_jacobi_span,continuation_step,newton_iterations
0,9,3.1389,0.0001000000000001068,2.96456375242473,12.87213581302817,0.3862658801524119,16.26647765187125,1.405130259832529e-12,4.884981308350689e-15,nan,27
1,9,3.1389,0.0002000000000000087,2.964559703323446,12.8721182318304,0.3862485869456663,16.26720593818883,1.128791384539839e-12,1.616484723854228e-13,nan,32
2,9,3.1389,0.0002998533896073794,2.964552957953024,12.87208894343203,0.3862197781234474,16.26841933809846,6.696651551442943e-12,1.240341163111225e-12,0.00246056536149099,5
3,9,3.1389,0.0004196504438247134,2.964541308075845,12.87203835966532,0.3861700205376893,16.27051550617809,8.623161673365914e-10,1.296793783467365e-10,0.002952678433789188,4
4,9,3.1389,0.0005633782160066363,2.964522206362081,12.87195542002415,0.3860884381122178,16.27395354779663,2.376424854894041e-12,2.960653944228397e-11,0.003543214120547025,5
5,9,3.1389,0.000735787429590767,2.964491913762932,12.87182388955865,0.3859590537169965,16.27940903748489,1.972670504922095e-10,1.139586203180443e-10,0.00425185694465643,5
6,9,3.1389,0.0009425530474296276,2.964444955269453,12.87161999577996,0.3857584773906037,16.28787356711148,1.7359399504607e-12,3.994897745940307e-10,0.005102228333587716,6
7,9,3.1389,0.00119043723737906,2.964373346079537,12.87130906867735,0.385452587400556,16.30079940454571,1.739185933105268e-12,1.308577690650736e-09,0.006122674000305259,6
8,9,3.1389,0.001487469325537644,2.964265476505807,12.87084069898821,0.3849917555253304,16.32031132356596,3.288314340247899e-12,4.07885636377614e-09,0.007347208800366311,7
9,9,3.1389,0.001783910777540129,2.96413373218493,12.87026866514696,0.3844288461304841,16.34420874089903,1.043224639052369e-12,1.035761609813335e-08,0.007347208800366311,8
10,9,3.1389,0.002079632199149565,2.963978190504564,12.86959330317082,0.3837641404837376,16.37251802437712,2.210412710023544e-12,2.283102729094821e-08,0.007347208800366311,8
11,9,3.1389,0.002374514145771704,2.963798938997963,12.86881499312915,0.382997953980073,16.4052712080715,2.222741432051687e-12,4.536924747000626e-08,0.007347208800366311,8
12,9,3.1389,0.002668437612632375,2.963596078252134,12.86793417177077,0.3821306483953451,16.4425055502984,4.15940557135622e-12,8.328526046597062e-08,0.007347208800366311,8
13,9,3.1389,0.002961284038294057,2.963369721738739,12.8669513317896,0.3811626309749651,16.48426366222734,9.436410458028832e-12,1.436090233397636e-07,0.007347208800366311,8
14,9,3.1389,0.003252935320194611,2.963119995630556,12.86586702102787,0.3800943534104487,16.53059365603,1.965387069080505e-11,2.353766794804812e-07,0.007347208800366311,8
15,9,3.1389,0.003543273829604674,2.962847038606424,12.86468184162909,0.3789263107129577,16.58154931326263,3.820686748981175e-11,3.699336903473238e-07,0.007347208800366311,8
16,9,3.1389,0.003832182421408053,2.962551001647945,12.86339644915538,0.3776590399901079,16.63719027444481,6.99976166614111e-11,5.612507587571258e-07,0.007347208800366311,8
17,9,3.1389,0.004119544436350879,2.962232047831497,12.86201155168436,0.3762931191331059,16.69758225091817,1.218175452195132e-10,8.262512771750607e-07,0.007347208800366311,8
18,9,3.1389,0.004405243694303277,2.961890352119467,12.86052790890273,0.3748291654224333,16.76279726018231,2.026614547041983e-10,1.185149043791967e-06,0.007347208800366311,8
19,9,3.1389,0.004689164477535302,2.961526101154794,12.85894633121412,0.3732678340601765,16.83291388608277,3.238983013633586e-10,1.661794919893822e-06,0.007347208800366311,8
20,15,3.1389,0.004971191503243982,2.961149933228671,12.85731301007889,0.3716547247142102,16.90597452248493,2.327557151166501e-12,9.444436344097085e-10,nan,12
21,15,3.1389,0.006348909914413698,2.959009037593753,12.84801724123207,0.3624571667666971,17.33497329692445,1.938827173204202e-12,9.976679926637644e-09,nan,29
22,15,3.1389,0.006495382748167473,2.958737468168525,12.84683808678774,0.361288387077368,17.39105249965888,1.647843490060463e-12,1.246572756130604e-08,0.005,12
23,15,3.1389,0.006640951850235479,2.958460182053846,12.8456341104778,0.3600944973174072,17.44871236296965,9.770659704965652e-11,1.549745887174936e-08,0.005,5
