member_index,correction_type,curve_samples,previous_max_abs_z_km,max_abs_z_km,delta_max_abs_z_km,previous_rho_rad,rho_rad,delta_rho_rad,mapping_time_days,mapping_time_error_days,mean_jacobi,map_residual_max,curve_jacobi_span,amplitude_residual,phase_residual,one_map_sweep_jacobi_drift,jacobi_ten_return_span,phase_return_error,condition_number,validation_status,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,strict_acceptance,passes_10500_gate,passes_11000_gate,failed_gates
12,FreeRotationCurveCorrection,45,10244.66587644695,10518.01666929729,273.3507928503459,1.444078232485744,1.444706351252292,0.0006281187665475585,14.74932760227518,1.77635683940025e-15,2.922274460464823,5.814869867617626e-09,5.065761143896452e-10,1.005168170920001e-12,1.301042606982605e-18,5.065770025680649e-10,3.552713678800501e-15,9.792286884458936e-10,45175299.35164392,validated extended CR3BP member,False,False,False,True,True,True,True,False,False,False,gate_1_residual; gate_2_jacobi; gate_3_phase
13,FixedRotationCurveCorrection,45,10518.01666929729,10579.08680557102,61.07013627372362,1.444706351252292,1.444863380943928,0.0001570296916368896,14.74932760227518,1.77635683940025e-15,2.922271805331482,3.754030877409331e-12,1.485700451553384e-11,0,-9.459663954936026e-18,1.485700451553384e-11,2.220446049250313e-15,4.563322302178076e-14,1266051267.367311,validated extended CR3BP member,True,True,True,True,True,True,False,False,False,False,gate_7_condition
14,FixedRotationCurveCorrection,45,10579.08680557102,10653.02797131745,73.94116574643704,1.444863380943928,1.445051816573893,0.0001884356299641787,14.74932760227518,1.77635683940025e-15,2.922268613710628,9.453732239490223e-09,2.797722054026508e-10,0,8.45873570907746e-18,2.797730935810705e-10,3.552713678800501e-15,5.06132154489987e-09,19284102.55082135,validated extended CR3BP member,False,False,False,True,True,True,True,False,False,False,gate_1_residual; gate_2_jacobi; gate_3_phase
15,FixedRotationCurveCorrection,45,10653.02797131745,10741.78368574114,88.75571442369073,1.445051816573893,1.44527793932985,0.0002261227559570145,14.74932760227518,1.77635683940025e-15,2.922264780085306,2.192199057156658e-09,6.324718526684592e-11,0,7.884659129075858e-18,6.324718526684592e-11,3.552713678800501e-15,9.414867254335256e-10,55375125.1349697,validated extended CR3BP member,False,True,False,True,True,True,True,False,False,False,gate_1_residual; gate_3_phase
16,FixedRotationCurveCorrection,45,10741.78368574114,10847.82952169572,106.0458359545719,1.44527793932985,1.445549286636998,0.0002713473071485062,14.74932760227518,1.77635683940025e-15,2.922260175498789,7.352164671658252e-10,2.523137254684116e-11,0,-5.194297200138988e-18,2.523181663605101e-11,3.108624468950438e-15,1.936915314536807e-10,128360656.3910667,validated extended CR3BP member,True,True,False,True,True,True,True,False,False,False,gate_3_phase
17,FixedRotationCurveCorrection,45,10847.82952169572,10969.67553863909,121.8460169433692,1.445549286636998,1.445863346020272,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922254840889363,6.349847815210779e-10,1.998756715693162e-11,0,4.007418752578502e-18,1.998845533535132e-11,3.108624468950438e-15,2.321779382468467e-11,246094826.5447212,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,False,
18,FixedRotationCurveCorrection,45,10969.67553863909,11090.46056248965,120.7850238505689,1.445863346020272,1.446177405403546,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922249500793134,2.012706454806789e-10,6.843858812999315e-12,0,4.637928902690922e-18,6.844746991419015e-12,3.996802888650564e-15,5.617222984882931e-12,470972445.8153611,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
19,FixedRotationCurveCorrection,45,11090.46056248965,11210.15500667104,119.6944441813903,1.446177405403546,1.446491464786819,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922244155229538,4.401317269770654e-11,2.100986051800646e-12,0,2.237437530172234e-18,2.102318319430196e-12,3.108624468950438e-15,1.412300532006653e-12,640464689.1089808,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
20,FixedRotationCurveCorrection,45,11210.15500667104,11328.75956753762,118.604560866579,1.446491464786819,1.446805524170093,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922238804209182,1.014042165891181e-11,1.034727858950646e-12,0,-2.859794988167332e-19,1.035171948160496e-12,3.108624468950438e-15,1.095799260167664e-12,676111711.704335,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
21,FixedRotationCurveCorrection,45,11328.75956753762,11446.28707112277,117.5275035851428,1.446805524170093,1.447119583553367,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922233447744313,2.903793514697204e-12,7.527312106958561e-13,0,7.61514383317138e-18,7.536193891155563e-13,2.664535259100376e-15,9.891014810171007e-13,650012216.6530188,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
22,FixedRotationCurveCorrection,45,11446.28707112277,11562.75536761691,116.4682964941439,1.447119583553367,1.447433642936641,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922228085850657,1.440538503801373e-12,5.933031843596837e-13,0,-2.553063182142868e-18,5.950795411990839e-13,3.552713678800501e-15,3.983298396294743e-13,602636447.4306679,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
23,FixedRotationCurveCorrection,45,11562.75536761691,11678.18410211348,115.4287344965724,1.447433642936641,1.447747702319915,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922222718547379,9.804484139640091e-13,3.677058657558518e-13,0,-4.373548744029173e-18,3.681499549657019e-13,3.552713678800501e-15,1.314778117912391e-13,549239150.5026,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
24,FixedRotationCurveCorrection,45,11678.18410211348,11792.59312495219,114.4090228387067,1.447747702319915,1.448061761703188,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922217345856388,4.597768837126499e-13,8.602007994795713e-13,0,1.046530382156369e-17,8.606448886894214e-13,3.108624468950438e-15,1.705737285102989e-13,495310909.4171095,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
25,FixedRotationCurveCorrection,45,11792.59312495219,11906.00166460638,113.4085396541886,1.448061761703188,1.448375821086462,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922211967801659,5.563332109452805e-13,2.279954003370221e-12,0,-2.584615159428091e-18,2.281286270999772e-12,3.996802888650564e-15,2.402915030652968e-13,442980623.8724283,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
26,FixedRotationCurveCorrection,45,11906.00166460638,12018.42786867017,112.4262040637877,1.448375821086462,1.448689880469736,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922206584408748,5.524375253107128e-13,1.162181462177614e-12,0,1.322430188900776e-19,1.162181462177614e-12,3.552713678800501e-15,2.59510176865205e-13,393221073.6978787,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
