attempt_id,macro_step,substep_index,substep_count,retry_level,step_source,source_member_id,previous_member_id,target_rho_delta,target_max_abs_z_km,amplitude_error_km,predictor_alpha,fourier_order,converged,overall_acceptance,max_abs_z_km,rho_rad,mean_jacobi,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,failed_gates,failure_reason,newton_iterations,max_correction_norm
bootstrap_fixed_time_projection,0,0,0,bootstrap,bootstrap_fixed_time_projection,fixed_time_candidate_forward_endpoint_candidate_fraction_0p25,fixed_time_candidate_forward_endpoint_candidate_fraction_0p25,0,N/A,N/A,0,61,True,True,10272.24671170378,1.444149657479268,2.922282429723014,2.244688933214907e-11,4.836220313109152e-11,4.836264722030137e-11,2.664535259100376e-15,1.670940416511129e-11,461049.4702686624,461049.4702686624,True,True,True,True,True,True,True,,,0,0
macro_1_attempt_1,1,1,3,rho_target_3_substeps,rho_target_3_substeps,11,11,1.666666666666667e-05,N/A,N/A,0.06132361704100596,61,False,False,10275.76927244034,1.444166323683978,2.922272101005386,0.000383660068064104,2.290722647568799e-06,2.290722648456978e-06,3.996802888650564e-15,0.0003663460850687902,53536.07390401771,295658.8755787032,False,False,False,True,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,8,0.02
macro_1_attempt_2,1,1,6,rho_target_6_substeps,rho_target_6_substeps,11,11,8.333333333333334e-06,N/A,N/A,0.03066180852050298,61,False,False,10275.32269320204,1.444157990579781,2.922282287365059,2.956132318396163e-07,5.628743160457361e-08,5.628743249275203e-08,3.996802888650564e-15,1.363152359759692e-07,18915052.47677621,104214018.4782835,False,False,False,True,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,8,0.02
macro_1_attempt_3,1,1,3,palc_native_3_substeps,palc_native_3_substeps,11,11,1.666666666666667e-05,N/A,N/A,0.06132361704100596,61,True,True,10271.45951638806,1.444149669940824,2.922282430028347,3.612491028746915e-14,4.953149002062673e-11,4.953193410983658e-11,3.108624468950438e-15,1.867082353375935e-14,90957.03891681971,460673.7181770427,True,True,True,True,True,True,True,,,4,0.003107904738086295
macro_1_attempt_4,1,2,3,palc_native_3_substeps,palc_native_3_substeps,12,12,1.666666666666667e-05,N/A,N/A,0.1,61,True,True,10271.37994560522,1.444149671297753,2.922282430061561,1.25292254349263e-13,4.961853150575735e-11,4.96189755949672e-11,3.552713678800501e-15,3.412843384807842e-14,80911.85737245934,460477.1140737737,True,True,True,True,True,True,True,,,2,1.67006116252429e-05
macro_1_attempt_5,1,3,3,palc_native_3_substeps,palc_native_3_substeps,12,12,1.666666666666667e-05,N/A,N/A,0.1,61,True,True,10271.37138476799,1.444149671444783,2.92228243006516,1.105075087762985e-13,4.96234164870657e-11,4.962474875469525e-11,2.664535259100376e-15,5.151205394943256e-14,81242.43247102314,460473.5890754057,True,True,True,True,True,True,True,,,2,1.72804094661571e-05
amplitude_rescue_attempt_1,13,1,10,amplitude_target_rescue,amplitude_target_25km,11,11,5e-05,10297.24671170378,-0.0005919966497458518,0.002433742169716036,61,False,False,10297.24611970713,1.444178012965876,2.922276041248872,0.000780179792708203,0.0002101537284757704,0.0002101537284762145,3.552713678800501e-15,0.0003315201420500804,46841.43173522047,349936.8988334392,False,False,False,True,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,24,0.02
amplitude_rescue_attempt_2,13,2,10,amplitude_target_rescue,amplitude_target_10km,11,11,5e-05,10282.24671170378,-2.182787284255028e-11,0.000973496867886503,61,True,False,10282.24671170376,1.444149233401787,2.922282419492664,6.639018382342048e-12,5.930056445890841e-11,5.930145263732811e-11,2.664535259100376e-15,6.20023078196892e-12,1019990.637249945,6278639.130842575,True,True,True,False,True,True,True,gate_4_rho_monotone,gate_4_rho_monotone,15,0.02
amplitude_rescue_attempt_3,13,3,10,amplitude_target_rescue,amplitude_target_5km,11,11,5e-05,10277.24671170378,3.47056729115684,0.0004867484339432515,61,False,False,10280.71727899494,1.444145155286194,2.922282308738126,1.078791551035925e-05,0.0002817054217429948,0.000281705421743883,3.996802888650564e-15,8.368329238434508e-06,1155169.683757863,8602456.59137276,False,False,False,False,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase; gate_4_rho_monotone,maximum iterations reached,24,0.02
amplitude_rescue_attempt_4,13,4,10,amplitude_target_rescue,amplitude_target_2km,11,11,5e-05,10274.24671170378,0,0.0001946993735773006,61,True,False,10274.24671170378,1.444149615059538,2.922282428687343,4.69464615426063e-14,4.633715633417523e-11,4.633893269101463e-11,4.440892098500626e-15,9.044936037416649e-15,905164.1954344099,4785185.838749927,True,True,True,False,True,True,True,gate_4_rho_monotone,gate_4_rho_monotone,7,0.01478481281353909
amplitude_rescue_attempt_5,13,5,10,amplitude_target_rescue,amplitude_target_1km,11,11,5e-05,10273.24671170378,-1.818989403545856e-11,9.73496867886503e-05,61,True,False,10273.24671170376,1.444149638290797,2.922282429254061,1.019024961862269e-12,4.720090984733361e-11,4.720224211496316e-11,2.664535259100376e-15,8.178346183892515e-13,895683.6762237314,4661020.341479784,True,True,True,False,True,True,True,gate_4_rho_monotone,gate_4_rho_monotone,5,0.006695000564459854
