attempt_id,probe_type,target_increment,target_value,source_member_id,previous_max_abs_z_km,previous_rho_rad,converged,overall_acceptance,max_abs_z_km,delta_max_abs_z_km,rho_rad,delta_rho_rad,mean_jacobi,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,failed_gates,failure_reason,newton_iterations,max_correction_norm,interpretation
amplitude_target_25km,amplitude_target,25,10297.24671170378,11,10272.24671170378,1.444149657479268,False,False,10297.24611970713,24.99940800335025,1.444178012965876,2.835548660762299e-05,2.922276041248872,0.000780179792708203,0.0002101537284757704,0.0002101537284762145,3.552713678800501e-15,0.0003315201420500804,46841.43173522047,349936.8988334392,False,False,False,True,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,24,0.02,unaccepted_probe
amplitude_target_10km,amplitude_target,10,10282.24671170378,11,10272.24671170378,1.444149657479268,True,False,10282.24671170376,9.999999999978172,1.444149233401787,-4.240774809094461e-07,2.922282419492664,6.639018382342048e-12,5.930056445890841e-11,5.930145263732811e-11,2.664535259100376e-15,6.20023078196892e-12,1019990.637249945,6278639.130842575,True,True,True,False,True,True,True,gate_4_rho_monotone,gate_4_rho_monotone,15,0.02,higher_amplitude_closed_only_with_lower_rho
amplitude_target_5km,amplitude_target,5,10277.24671170378,11,10272.24671170378,1.444149657479268,False,False,10280.71727899494,8.47056729115684,1.444145155286194,-4.502193074351624e-06,2.922282308738126,1.078791551035925e-05,0.0002817054217429948,0.000281705421743883,3.996802888650564e-15,8.368329238434508e-06,1155169.683757863,8602456.59137276,False,False,False,False,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase; gate_4_rho_monotone,maximum iterations reached,24,0.02,unaccepted_probe
amplitude_target_2km,amplitude_target,2,10274.24671170378,11,10272.24671170378,1.444149657479268,True,False,10274.24671170378,2,1.444149615059538,-4.241973061702708e-08,2.922282428687343,4.69464615426063e-14,4.633715633417523e-11,4.633893269101463e-11,4.440892098500626e-15,9.044936037416649e-15,905164.1954344099,4785185.838749927,True,True,True,False,True,True,True,gate_4_rho_monotone,gate_4_rho_monotone,7,0.01478481281353909,higher_amplitude_closed_only_with_lower_rho
amplitude_target_1km,amplitude_target,1,10273.24671170378,11,10272.24671170378,1.444149657479268,True,False,10273.24671170376,0.9999999999818101,1.444149638290797,-1.918847170045979e-08,2.922282429254061,1.019024961862269e-12,4.720090984733361e-11,4.720224211496316e-11,2.664535259100376e-15,8.178346183892515e-13,895683.6762237314,4661020.341479784,True,True,True,False,True,True,True,gate_4_rho_monotone,gate_4_rho_monotone,5,0.006695000564459854,higher_amplitude_closed_only_with_lower_rho
amplitude_target_0.5km,amplitude_target,0.5,10272.74671170378,11,10272.24671170378,1.444149657479268,True,False,10272.74671170378,0.5,1.444149648364925,-9.114343280103299e-09,2.922282429500558,6.183830108107379e-14,4.788880403339135e-11,4.78892481226012e-11,3.108624468950438e-15,1.610895400518953e-14,891134.4458683063,4602184.247181639,True,True,True,False,True,True,True,gate_4_rho_monotone,gate_4_rho_monotone,5,0.002618194833193299,higher_amplitude_closed_only_with_lower_rho
rho_target_8.33333e-06,rho_target,8.333333333333334e-06,1.444157990812602,11,10272.24671170378,1.444149657479268,False,False,10275.32269320204,3.075981498252077,1.444157990579781,8.333100512958325e-06,2.922282287365059,2.956132318396163e-07,5.628743160457361e-08,5.628743249275203e-08,3.996802888650564e-15,1.363152359759692e-07,18915052.47677621,104214018.4782835,False,False,False,True,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,8,0.02,positive_rho_higher_amplitude_fails_closure_gates
rho_target_2e-06,rho_target,2e-06,1.444151657479268,11,10272.24671170378,1.444149657479268,False,False,10276.48572705797,4.239015354183721,1.444151657418022,1.999938753716179e-06,2.922282392880402,6.367812714083281e-08,1.240394942314538e-08,1.240394942314538e-08,3.552713678800501e-15,2.322145349171425e-08,53915061.5233769,276696169.5883112,False,False,False,True,True,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,8,0.02,positive_rho_higher_amplitude_fails_closure_gates
rho_target_2e-07,rho_target,2e-07,1.444149857479268,11,10272.24671170378,1.444149657479268,False,False,10269.7780807631,-2.46863094067885,1.444149857474678,1.999954100107004e-07,2.922282427200666,2.019446822025238e-08,1.103837021787513e-09,1.103837909965932e-09,3.108624468950438e-15,1.784800917446998e-08,166550036.5402504,796698301.15583,False,False,False,True,False,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase; gate_5_amplitude,maximum iterations reached,8,0.02,amplitude_recedes
rho_target_1e-07,rho_target,1e-07,1.444149757479268,11,10272.24671170378,1.444149657479268,False,False,10270.62010635666,-1.626605347124496,1.444149757477122,9.99978533311463e-08,2.922282420743349,3.154927608820204e-07,1.783505343411207e-09,1.783507119768046e-09,2.664535259100376e-15,3.011099106028014e-07,12567330.32032334,73930911.43696976,False,False,False,True,False,True,True,gate_1_residual; gate_2_jacobi; gate_3_phase; gate_5_amplitude,maximum iterations reached,8,0.01428698635357457,amplitude_recedes
