kind,name,index,start,end,size,notes
unknown,X_0,0,0,5,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_1,1,6,11,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_2,2,12,17,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_3,3,18,23,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_4,4,24,29,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_5,5,30,35,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_6,6,36,41,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_7,7,42,47,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_8,8,48,53,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_9,9,54,59,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_10,10,60,65,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_11,11,66,71,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_12,12,72,77,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_13,13,78,83,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_14,14,84,89,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_15,15,90,95,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_16,16,96,101,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_17,17,102,107,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_18,18,108,113,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_19,19,114,119,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_20,20,120,125,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_21,21,126,131,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_22,22,132,137,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_23,23,138,143,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_24,24,144,149,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_25,25,150,155,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_26,26,156,161,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_27,27,162,167,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_28,28,168,173,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_29,29,174,179,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_30,30,180,185,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_31,31,186,191,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_32,32,192,197,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_33,33,198,203,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_34,34,204,209,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_35,35,210,215,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_36,36,216,221,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_37,37,222,227,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_38,38,228,233,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_39,39,234,239,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_40,40,240,245,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_41,41,246,251,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_42,42,252,257,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_43,43,258,263,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_44,44,264,269,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_45,45,270,275,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_46,46,276,281,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_47,47,282,287,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_48,48,288,293,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_49,49,294,299,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_50,50,300,305,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_51,51,306,311,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_52,52,312,317,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_53,53,318,323,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_54,54,324,329,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_55,55,330,335,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_56,56,336,341,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_57,57,342,347,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_58,58,348,353,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_59,59,354,359,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,X_60,60,360,365,6,"state sample [x,y,z,xdot,ydot,zdot]"
unknown,rho,61,366,366,1,rotation angle; solved variable in the prototype Jacobian
residual,R_map_0,0,0,5,6,map invariance residual
residual,R_map_1,1,6,11,6,map invariance residual
residual,R_map_2,2,12,17,6,map invariance residual
residual,R_map_3,3,18,23,6,map invariance residual
residual,R_map_4,4,24,29,6,map invariance residual
residual,R_map_5,5,30,35,6,map invariance residual
residual,R_map_6,6,36,41,6,map invariance residual
residual,R_map_7,7,42,47,6,map invariance residual
residual,R_map_8,8,48,53,6,map invariance residual
residual,R_map_9,9,54,59,6,map invariance residual
residual,R_map_10,10,60,65,6,map invariance residual
residual,R_map_11,11,66,71,6,map invariance residual
residual,R_map_12,12,72,77,6,map invariance residual
residual,R_map_13,13,78,83,6,map invariance residual
residual,R_map_14,14,84,89,6,map invariance residual
residual,R_map_15,15,90,95,6,map invariance residual
residual,R_map_16,16,96,101,6,map invariance residual
residual,R_map_17,17,102,107,6,map invariance residual
residual,R_map_18,18,108,113,6,map invariance residual
residual,R_map_19,19,114,119,6,map invariance residual
residual,R_map_20,20,120,125,6,map invariance residual
residual,R_map_21,21,126,131,6,map invariance residual
residual,R_map_22,22,132,137,6,map invariance residual
residual,R_map_23,23,138,143,6,map invariance residual
residual,R_map_24,24,144,149,6,map invariance residual
residual,R_map_25,25,150,155,6,map invariance residual
residual,R_map_26,26,156,161,6,map invariance residual
residual,R_map_27,27,162,167,6,map invariance residual
residual,R_map_28,28,168,173,6,map invariance residual
residual,R_map_29,29,174,179,6,map invariance residual
residual,R_map_30,30,180,185,6,map invariance residual
residual,R_map_31,31,186,191,6,map invariance residual
residual,R_map_32,32,192,197,6,map invariance residual
residual,R_map_33,33,198,203,6,map invariance residual
residual,R_map_34,34,204,209,6,map invariance residual
residual,R_map_35,35,210,215,6,map invariance residual
residual,R_map_36,36,216,221,6,map invariance residual
residual,R_map_37,37,222,227,6,map invariance residual
residual,R_map_38,38,228,233,6,map invariance residual
