case_id,test_type,requested_phase_shift,actual_shift_index,actual_phase_shift_rad,shift_method,phase_condition,perturbation_norm,converged,accepted,corrected_max_abs_z_km,delta_max_abs_z_km_from_reference,corrected_mapping_time_days,delta_mapping_time_days_from_reference,corrected_rho,delta_rho_from_reference,map_residual_norm,curve_jacobi_span,one_map_phase_return_error,ten_return_jacobi_span,state_distance_to_reference,phase_aligned_state_distance,classification,diagnosis
05_E_amplitude_monitor_large_step_correction,cyclic_phase_shift,1/4,15,1.545045567339242,cyclic_index_shift,curve_tangent,N/A,True,True,10164.02309758568,0,14.74932760410007,0,1.443877875500803,0,4.141968740330065e-14,5.10702591327572e-14,3.15657119284193e-15,5.329070518200751e-15,0.01990000244384374,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_correction,cyclic_phase_shift,1/2,30,3.090091134678485,cyclic_index_shift,curve_tangent,N/A,True,True,10164.02309758568,0,14.74932760410007,0,1.443877875500803,0,4.126031936311283e-14,5.10702591327572e-14,3.598082978709726e-14,2.664535259100376e-15,0.02826811773457167,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_correction,cyclic_phase_shift,3/4,46,4.738139739840343,cyclic_index_shift,curve_tangent,N/A,True,True,10164.02309758568,0,14.74932760410007,0,1.443877875500803,0,4.119105273433907e-14,5.10702591327572e-14,2.485724706466953e-14,3.108624468950438e-15,0.01990000244384374,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_correction,alternative_phase_anchor,0,0,0,none,curve_tangent,N/A,True,True,10164.02309758568,0,14.74932760410007,0,1.443877875500803,0,4.131514697872946e-14,5.10702591327572e-14,4.363173024501378e-15,2.664535259100376e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_correction,alternative_phase_anchor,0,0,0,none,two_orthogonality,N/A,True,True,10164.02309758568,0,14.74932760410007,0,1.443877875500803,0,4.131514697872946e-14,5.10702591327572e-14,4.363173024501378e-15,2.664535259100376e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_correction,small_perturbation,0,0,0,none,curve_tangent,1e-08,True,True,10164.02309750431,-8.136703399941325e-08,14.74932760410009,2.309263891220326e-14,1.443877875500806,3.774758283725532e-15,4.680125997242266e-14,5.062616992290714e-14,2.890400378526995e-14,2.220446049250313e-15,4.180981902166549e-11,4.180981902166549e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_correction,small_perturbation,0,0,0,none,curve_tangent,1e-07,True,True,10164.0230973682,-2.174856490455568e-07,14.74932760410059,5.169198402654729e-13,1.443877875500839,3.641531520770513e-14,4.508007717168438e-13,1.076472244676552e-12,6.41403399121086e-14,2.220446049250313e-15,1.124054452226054e-10,1.124054452226054e-10,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_step,cyclic_phase_shift,1/4,15,1.545045567339242,cyclic_index_shift,curve_tangent,N/A,True,True,10365.30213665036,0,14.75849912191985,0,1.443965064250454,0,1.061937648540249e-13,6.972200594645983e-14,1.485342017721948e-14,4.440892098500626e-15,0.02033133354529507,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_step,cyclic_phase_shift,1/2,30,3.090091134678485,cyclic_index_shift,curve_tangent,N/A,True,True,10365.30213665036,0,14.75849912191985,0,1.443965064250454,0,1.061985174419008e-13,6.972200594645983e-14,3.745985586666826e-14,3.552713678800501e-15,0.0288318830304176,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_step,cyclic_phase_shift,3/4,46,4.738139739840343,cyclic_index_shift,curve_tangent,N/A,True,True,10365.30213665036,0,14.75849912191985,0,1.443965064250454,0,1.064578279436546e-13,6.972200594645983e-14,4.357037902512312e-14,5.329070518200751e-15,0.02033133354529507,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_step,alternative_phase_anchor,0,0,0,none,curve_tangent,N/A,True,True,10365.30213665036,0,14.75849912191985,0,1.443965064250454,0,1.061852516876949e-13,6.972200594645983e-14,1.609181120155472e-14,2.220446049250313e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
