experiment_id,variant,description,curve_samples,source_case,scaling_method,phase_condition,continuation_parameter,step_attempt,target_delta,converged,accepted,max_abs_z_km,delta_max_abs_z_km,corrected_mapping_time_days,mapping_time_delta_days,corrected_rho,rho_delta,map_residual_norm,curve_jacobi_span,one_map_phase_return_error,ten_return_jacobi_span,condition_estimate,min_singular_value,max_singular_value,max_correction_norm,mean_correction_norm,failure_reason,interpretation
01_A_baseline_correction,A_baseline,Current square Route B system with one curve-tangent phase condition.,61,accepted_endpoint,unscaled variables and residuals,curve_tangent,mean_jacobi,0,0,True,True,10164.02702725186,0.003927601313989726,14.74932758029392,-2.198125770291881e-08,1.44387788665864,1.136494476305927e-08,1.690056425583955e-12,7.061018436615996e-14,1.367700919397098e-12,3.108624468950438e-15,280743414137.5632,1.740385056096928e-10,48.86016425626461,1.738065358938254e-07,1.432609349509827e-07,,correction-only reproduction passed audit
01_A_baseline_step,A_baseline,Current square Route B system with one curve-tangent phase condition.,61,A_baseline_correction,unscaled variables and residuals,curve_tangent,mean_jacobi,1,-5e-05,True,True,10239.72426115909,75.69723390722174,14.75580175502419,0.006474174730264792,1.443770102338846,-0.0001077843197934136,4.323253352268726e-11,1.036948304999896e-12,1.463387428640279e-11,3.996802888650564e-15,305739622641188.3,1.598097057368266e-13,48.88652559592788,0.0003578621833439325,0.0001062079226406071,,bounded local step accepted
02_B_column_scaled_correction,B_column_scaled,Column-scaled least-squares solve with balanced T/rho columns and weighted scalar rows.,61,accepted_endpoint,"state=1, T=1e-3, rho=1e-3, Jacobi residual=1e5, phase residual=1",curve_tangent,mean_jacobi,0,0,True,True,10164.02309758568,-2.064869477180764e-06,14.74932760410007,1.824890460966344e-09,1.443877875500803,2.071076643517245e-10,4.131514697872946e-14,5.10702591327572e-14,4.363173024501378e-15,2.664535259100376e-15,281485495472668.3,6.013055543681807e-11,16925.87919017949,6.584886499927218e-09,4.213079906061952e-09,,correction-only reproduction passed audit
02_B_column_scaled_step,B_column_scaled,Column-scaled least-squares solve with balanced T/rho columns and weighted scalar rows.,61,B_column_scaled_correction,"state=1, T=1e-3, rho=1e-3, Jacobi residual=1e5, phase residual=1",curve_tangent,mean_jacobi,1,-5e-05,True,True,10305.59759618118,141.5744985955007,14.75540296048238,0.006075356382313046,1.443955305107847,7.742960704448798e-05,4.780528419627396e-14,4.796163466380676e-14,5.30226232858757e-15,3.552713678800501e-15,9037258226259040,1.872899807447429e-12,16938.06927589183,0.0008,0.0001830184146682998,,bounded local step accepted
03_C_strong_T_rho_scaling_correction,C_strong_T_rho_scaling,Stronger T/rho variable scaling to test whether solver balance is the dominant issue.,61,accepted_endpoint,"state=1, T=1e-4, rho=1e-4, Jacobi residual=1e5, phase residual=10",curve_tangent,mean_jacobi,0,0,True,True,10164.02309741563,-2.234915882581845e-06,14.74932760410107,1.825886997153248e-09,1.443877875500336,2.066407045475671e-10,4.189414673415784e-14,5.10702591327572e-14,6.696078456956718e-15,3.108624468950438e-15,281475081777470.6,6.013278007877371e-11,16925.87919017949,6.58554384081521e-09,4.213997416600725e-09,,correction-only reproduction passed audit
03_C_strong_T_rho_scaling_step,C_strong_T_rho_scaling,Stronger T/rho variable scaling to test whether solver balance is the dominant issue.,61,C_strong_T_rho_scaling_correction,"state=1, T=1e-4, rho=1e-4, Jacobi residual=1e5, phase residual=10",curve_tangent,mean_jacobi,1,-5e-05,True,True,10344.48553225902,180.4624348433827,14.75513497963399,0.005807375532924652,1.444071271212422,0.0001933957120860974,4.431527701818323e-14,4.867217739956686e-13,2.1665653480772e-14,2.664535259100376e-15,9037258233213586,1.872899806006276e-12,16938.64058594746,0.0008,0.0002623963448202257,,bounded local step accepted
04_D_two_phase_correction,D_two_phase,Alternative least-squares phase anchor using longitudinal and latitudinal orthogonality.,61,accepted_endpoint,"state=1, T=1e-3, rho=1e-3, Jacobi residual=1e5, phase residual=1",two_orthogonality,mean_jacobi,0,0,True,True,10164.02309756062,-2.089929694193415e-06,14.74932760410007,1.824890460966344e-09,1.443877875500803,2.071076643517245e-10,3.854191242762707e-14,5.151434834260726e-14,1.314852425858504e-14,2.220446049250313e-15,281484764578284.6,6.013071156990515e-11,16925.87919017948,6.582528476884196e-09,4.21360520531094e-09,,correction-only reproduction passed audit
04_D_two_phase_step,D_two_phase,Alternative least-squares phase anchor using longitudinal and latitudinal orthogonality.,61,D_two_phase_correction,"state=1, T=1e-3, rho=1e-3, Jacobi residual=1e5, phase residual=1",two_orthogonality,mean_jacobi,1,-5e-05,True,True,10305.37957499138,141.3564774307579,14.75540447468406,0.00607687058399442,1.443954614499458,7.673899865490164e-05,3.852024081512724e-14,6.350475700855895e-14,2.867649505122712e-14,2.664535259100376e-15,281513615125843.7,6.013071157276841e-11,16938.03308590682,0.0007999999999999999,0.0001821466164295191,,bounded local step accepted
05_E_amplitude_monitor_large_step_correction,E_amplitude_monitor_large_step,Optional amplitude-monitor Jacobi predictor; amplitude is monitored but not a hard residual.,61,accepted_endpoint,"same as B, larger bounded Jacobi step",curve_tangent,mean_jacobi,0,0,True,True,10164.02309758568,-2.064869477180764e-06,14.74932760410007,1.824890460966344e-09,1.443877875500803,2.071076643517245e-10,4.131514697872946e-14,5.10702591327572e-14,4.363173024501378e-15,2.664535259100376e-15,281485495472668.3,6.013055543681807e-11,16925.87919017949,6.584886499927218e-09,4.213079906061952e-09,,correction-only reproduction passed audit
05_E_amplitude_monitor_large_step_step,E_amplitude_monitor_large_step,Optional amplitude-monitor Jacobi predictor; amplitude is monitored but not a hard residual.,61,E_amplitude_monitor_large_step_correction,"same as B, larger bounded Jacobi step",curve_tangent,mean_jacobi,1,-7.499999999999999e-05,True,True,10365.30213665036,201.2790390646787,14.75849912191985,0.009171517819781982,1.443965064250454,8.718874965185641e-05,1.061852516876949e-13,6.972200594645983e-14,1.609181120155472e-14,2.220446049250313e-15,9037258226259040,1.872899807447429e-12,16944.21152130259,0.0012,0.0002692763930603606,,bounded local step accepted
