step,mapping_time_days,mapping_time_error_days,rotation_angle_rad,mean_jacobi,energy_residual,curve_jacobi_span,max_map_residual,phase_residual,amplitude,newton_iterations,jacobian_condition,status
0,14.886376386403137,0.13704878412795551,1.4428701583638812,2.921199999999996,-3.9968028886505635e-15,1.9025669928396383e-11,2.4626743277439113e-13,7.697835424647081e-18,0.030936118098778033,0.0,nan,pass
1,14.881376386403137,0.13204878412795473,1.4451269404836729,2.9211999999997866,4.796163466380676e-13,5.067057884389214e-13,1.9861244636868058e-11,-1.3227266504323154e-17,0.03261480848327636,8.0,nan,pass
2,14.875126386403137,0.1257987841279551,1.447905492719486,2.9211999999998595,3.637090628672013e-13,3.934630399271555e-13,1.1405683606842492e-11,3.2526065174565133e-18,0.034611649498985694,4.0,nan,pass
3,14.867313886403137,0.11798628412795509,1.4513695682915042,2.9211999999999123,4.1389114358025836e-13,6.288303211476887e-13,1.1161364450551115e-11,3.903127820947816e-18,0.03694969078466414,4.0,nan,pass
4,14.857548261403137,0.10822065912795509,1.4556893526843253,2.9211999999999976,6.394884621840902e-14,1.234568003383174e-13,1.2717747481425209e-13,-3.0357660829594124e-18,0.039669739800873134,5.0,nan,pass
5,14.845341230153137,0.09601362787795509,1.4610815255693959,2.921199999999996,8.171241461241152e-14,1.6076029396572267e-13,3.0783143762270014e-13,-7.37257477290143e-18,0.042814671220921544,5.0,nan,pass
6,14.830082441090637,0.08075483881545509,1.4678278393752724,2.9211999999999994,9.423573033018329e-13,1.879829625295315e-12,8.355076979338365e-13,-3.469446951953614e-18,0.046429546193101,6.0,nan,pass
7,14.811008954762512,0.06168135248733009,1.476309450741372,2.9211999999999514,1.0362732894009241e-10,2.0624613128461533e-10,8.363603706663153e-11,-4.336808689942018e-18,0.0505596258680895,9.0,nan,pass
8,14.805048490284973,0.055720888009791025,1.4789798366636289,2.9211999999993035,1.6810153269375405e-10,3.3533931187434973e-10,1.7375389155341914e-10,-4.662069341687669e-18,0.051775388550626016,5.0,nan,pass
9,14.801323199986511,0.05199559771132911,1.4806552466092568,2.92119999999961,3.363131995115509e-10,6.645315409059549e-10,3.914126742132488e-10,-3.3068166260807885e-18,0.05249888504953179,10.0,nan,pass
10,14.80015904676824,0.05083144449305799,1.4811798950848734,2.9211999999984695,4.2793235621729764e-10,8.463261202962258e-10,5.56340189496002e-10,-5.421010862427522e-18,0.05269968373030291,11.0,nan,pass
11,14.799431451006823,0.05010384873164142,1.481508062163565,2.921199999999004,4.949303189505372e-10,9.802381129020432e-10,7.731547437980286e-10,-1.0638733817514012e-17,0.05281758821318832,9.0,nan,pass
12,14.799417240152108,0.05008963787692622,1.4815144739237145,2.9211999999667326,5.304126027283473e-10,9.791878419207478e-10,1.88385609642271e-09,-4.662662264750747e-17,0.05282038081224317,1.0,2070738805.9971697,fail
