step,event,curve_samples,mapping_time_days,mapping_time_error_days,rotation_angle_rad,mean_jacobi,energy_residual,curve_jacobi_span,max_map_residual,phase_residual,amplitude,newton_iterations,jacobian_condition,status
0,free_time_anchor,57,14.848377034870525,0.09904943259534349,1.44331818025486,2.9214999999998597,-1.4033219031261979e-13,1.3700551804163297e-10,1.3280454200730364e-11,4.7704895589362195e-18,0.029776917585449193,0.0,nan,pass
1,time_homotopy,57,14.843377034870525,0.09404943259534271,1.4456318306854488,2.9214999999938227,1.6043610884253212e-11,1.680078298704757e-11,6.346617629309408e-10,-8.673617379884035e-18,0.03154093318430662,9.0,nan,pass
2,time_homotopy,57,14.837127034870525,0.08779943259534306,1.4484556464943268,2.9214999999999303,1.7985612998927536e-13,2.0117241206207837e-13,5.4477979697591395e-12,2.3852447794681098e-18,0.03363345265435802,4.0,nan,pass
3,time_homotopy,57,14.829314534870525,0.07998693259534306,1.4519759535321224,2.9214999999984403,2.7982061112652445e-12,2.5428548156014585e-12,1.0568904484113692e-10,8.239936510889834e-18,0.036071731867624954,4.0,nan,pass
4,time_homotopy,57,14.819548909870525,0.07022130759534306,1.4563658097909984,2.9214999999999955,2.6645352591003757e-14,4.4853010194856324e-14,2.1562997317051938e-13,2.168404344971009e-18,0.03889545634400232,5.0,nan,pass
5,time_homotopy,57,14.807341878620525,0.05801427634534306,1.4618457290193685,2.921499999999993,5.773159728050814e-14,9.947598300641403e-14,5.533251726416571e-13,3.469446951953614e-18,0.042146389620382876,5.0,nan,pass
6,time_homotopy,57,14.792083089558025,0.04275548728284306,1.4687029924701818,2.9214999999999995,8.020251129892131e-13,1.5947243525715749e-12,6.899212468682363e-13,1.734723475976807e-18,0.045868623779274496,6.0,nan,pass
7,time_homotopy,57,14.7730096032299,0.023682000954718063,1.4773277802320834,2.921499999990109,7.039480109938268e-11,1.2396128568070708e-10,3.754344655205549e-10,3.903127820947816e-18,0.05010702046908975,7.0,nan,pass
8,time_homotopy,57,14.76704913875236,0.017721536477179,1.4800445525617612,2.921499999999908,1.4456347230407118e-10,2.8580293687241465e-10,1.7675530852843327e-10,-5.095750210681871e-18,0.051352730024620145,5.0,nan,pass
9,time_homotopy,57,14.763323848453897,0.01399624617871531,1.48174942742086,2.921499999986875,4.0781911181397845e-10,7.825433634423007e-10,6.800399796002668e-10,-1.6263032587282567e-18,0.05211477946480682,3.0,nan,pass
10,time_homotopy,57,14.762741771844762,0.013414169569580636,1.4820163149600591,2.921499999984132,4.590865465559091e-10,8.659077899153544e-10,7.570377521551756e-10,1.3101228001771714e-16,0.05220168424394029,12.0,nan,pass
11,time_homotopy,57,14.762377973964053,0.013050371688871465,1.4821831864894581,2.9214999999905555,4.727960245531904e-10,9.22305343209473e-10,7.031394703061456e-10,5.3261431723350405e-17,0.05224248144290695,12.0,nan,pass
12,time_homotopy,57,14.762264287126332,0.012936684851149849,1.4822353442040148,2.921499999991455,4.884066484578398e-10,9.551501811699836e-10,7.24360528754455e-10,5.260498118922832e-17,0.05226201198073701,5.0,nan,pass
13,time_homotopy,57,14.762193232852754,0.012865630577572063,1.482267945215158,2.921499999996289,4.948028653473102e-10,9.763061470380308e-10,7.139273400442526e-10,6.832591269026814e-18,0.052274043549398914,3.0,nan,pass
14,time_homotopy,57,14.76214882393177,0.012821221656588833,1.4822883218045642,2.9214999999991482,4.824798338631808e-10,9.507585829737764e-10,7.820935279180547e-10,-9.947554932554503e-18,0.05225523369784163,10.0,nan,pass
15,spectral_lift,69,14.76214882393177,0.012821221656588833,1.4822883218036902,2.9214999999999938,1.7124524021028265e-11,3.3861358161857424e-11,1.5865841940797824e-11,-2.642742795433417e-19,0.05225478067833268,3.0,nan,pass
16,time_homotopy,69,14.75964882393177,0.010321221656587554,1.4834364356326204,2.921499999999701,8.558842523598287e-11,1.6866419372263408e-10,8.501399989337535e-11,-6.505213034913027e-19,0.052755835507245136,3.0,nan,pass
17,time_homotopy,69,14.758086323931769,0.008758721656587198,1.4841541339877078,2.9214999999990314,3.3921754294397033e-10,6.66583677144672e-10,3.3588181469331245e-10,-1.870248747537495e-17,0.05306639904054547,3.0,nan,pass
18,time_homotopy,69,14.75784218330677,0.008514581031588975,1.484266081348661,2.921499999988652,4.1559422570003335e-10,8.049081401395597e-10,6.288180600200307e-10,-3.144186300207963e-18,0.05308616022477454,12.0,nan,pass
19,time_homotopy,69,14.757689595416146,0.008361993140963975,1.4843359821933075,2.9214999999916165,4.576761192254253e-10,9.031815295656997e-10,6.376121103997811e-10,4.246006757996357e-17,0.053099988421512534,7.0,nan,pass
20,time_homotopy,69,14.757594227984503,0.008266625709321573,1.4843796364286543,2.921499999998443,4.767781724979159e-10,9.519154353654358e-10,6.371393855847693e-10,1.5124620306172787e-17,0.05309185660913768,10.0,nan,pass
21,spectral_lift,81,14.757594227984503,0.008266625709321573,1.4843796364193684,2.921499999999983,1.5405454689698672e-11,3.056754849239951e-11,9.400080923339453e-12,-1.2157040375467346e-17,0.053091613652768176,2.0,nan,pass
22,time_homotopy,81,14.752594227984503,0.0032666257093207918,1.4867000985173175,2.9214999999992304,1.9258106220831905e-10,3.829567774005227e-10,1.4568379051636875e-10,-2.087089182034596e-17,0.054066838397476884,8.0,nan,pass
23,time_homotopy,81,14.749327602275182,0.0,1.4882206982789679,2.9214999999999085,7.26712023890741e-11,1.4452528063202408e-10,7.522288622936982e-11,1.2576745200831851e-17,0.05469319039921596,4.0,nan,pass
