member,source,samples,step_size,rotation_angle_rad,delta_rotation,mean_jacobi,delta_jacobi,amplitude,max_map_residual,jacobi_span,phase_residual,arclength_residual,accepted
0,anchor,57,0.0,1.444157595278934,nan,2.9222829170502553,nan,0.02626269325927276,1.389598998975685e-09,2.8333602131169755e-10,7.8198081690517e-18,0.0,True
1,anchor,57,0.0,1.4441577615879988,1.6630906474190965e-07,2.9222828667140917,-5.033616368166349e-08,0.02626694145904065,2.559327574296312e-10,3.131517267718209e-10,-5.820810413531552e-18,0.0,True
2,palc,57,0.001534615325155277,1.4441577356693458,-2.5918653001610892e-08,2.9222828189495544,-4.776453721433427e-08,0.026271052796743355,1.370423898196304e-09,3.7262548602257084e-10,-3.048640983757678e-17,7.18936569588432e-18,True
3,palc,57,0.0023019229877329155,1.4441573758996877,-3.5976965806483463e-07,2.9222827516200787,-6.732947577248183e-08,0.026276989684261332,4.818998116258611e-09,5.869895680632453e-10,-2.227899939186151e-16,1.609189674606501e-17,True
4,palc,57,0.003452884481599373,1.4441562184651153,-1.1574345724074675e-06,2.922282659092461,-9.252761756783912e-08,0.02628544450882929,1.6973988357722848e-12,7.057172624058694e-10,-4.0657581468206416e-19,6.928068552456656e-18,True
5,palc,57,0.0051793267223990596,1.4441533633472388,-2.8551178765656715e-06,2.9222825352638604,-1.2382860070658808e-07,0.02629732093711962,6.835391550486485e-10,1.2499619117534166e-09,-4.30970363562988e-18,-1.4612057994700668e-17,True
6,palc,57,0.00776899008359859,1.4441472218733304,-6.1414739083165415e-06,2.922282374338426,-1.6092543431156514e-07,0.026313799085746978,1.952068918551468e-12,3.505848944485024e-09,8.673617379884035e-19,5.252370862609346e-18,True
7,palc,57,0.011653485125397885,1.4441349066690155,-1.2315204314994332e-05,2.9222821653946967,-2.0894372942947825e-07,0.026337204161025408,2.0486130942267928e-09,8.851515076457872e-09,6.1257422745431e-18,2.2953890594251482e-17,True
8,palc,57,0.017480227688096827,1.4441149461416063,-1.9960527409157436e-05,2.9222819273007734,-2.380939232438095e-07,0.026365231203650242,8.386188369352444e-11,5.367796429567306e-09,5.095750210681871e-18,6.320713501210371e-18,True
9,palc,57,0.02622034153214524,1.4440895326149186,-2.541352668772312e-05,2.9222816912814364,-2.3601933696326682e-07,0.026391467996926234,1.5782529447601755e-11,7.536768098503899e-09,-3.686287386450715e-18,-2.426966942384672e-18,True
10,palc,57,0.03933051229821786,1.444073386595544,-1.614601937460769e-05,2.922281560541282,-1.3074015425829089e-07,0.02639331229182024,2.2700688534468164e-09,9.932414890556629e-09,8.023096076392733e-18,5.9532552644910925e-18,True
