rank_from_smallest,singular_value,ratio_to_smallest
1,1.8181750629619895e-10,1.0
2,1.6080230233093117e-06,8844.159487534062
3,0.00010109947975234223,556049.2045669191
4,0.00015350853652611695,844300.0877816251
5,0.00015350855096815387,844300.1672131233
6,0.00032561655551909457,1790897.7092042642
7,0.0003256165555585039,1790897.7094210163
8,0.0034022897161263958,18712662.96317872
9,0.003402289826596392,18712663.570765957
10,0.004963830396113463,27301168.612591606
11,0.0049639737681052174,27301957.161476005
12,0.006223556705360584,34229689.05547404
