attempt_id,stage,step_option_km,target_max_abs_z_km,source_member_id,previous_max_abs_z_km,previous_rho_rad,converged,turn_aware_acceptance,max_abs_z_km,delta_max_abs_z_km,rho_rad,delta_rho_rad,mean_jacobi,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,original_gate_4_rho_monotone,turn_gate_4_amplitude_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,original_failed_gates,turn_failed_gates,failure_reason,newton_iterations,max_correction_norm
stage_1_step_2km,1,2,10274.24671170378,11,10272.24671170378,1.444149657479268,True,True,10274.24671170378,2,1.444149615059538,-4.241973061702708e-08,2.922282428687343,4.69464615426063e-14,4.633715633417523e-11,4.633893269101463e-11,4.440892098500626e-15,9.044936037416649e-15,905164.1954344099,4785185.838749927,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,7,0.01478481281353909
stage_2_step_2km,2,2,10276.24671170378,1001,10274.24671170378,1.444149615059538,True,True,10276.24671170378,2,1.444149571289348,-4.377019013901418e-08,2.922282427621316,4.252720352098744e-14,4.947642295860533e-11,4.947731113702503e-11,2.664535259100376e-15,2.020558217230931e-14,930465.114270119,5081580.586072995,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,7,0.01562144790687011
stage_3_step_2km,3,2,10278.24671170378,1002,10276.24671170378,1.444149571289348,True,True,10278.24671170378,2,1.444149525908777,-4.538057063463441e-08,2.922282426519291,3.543716286774034e-14,5.261613367224527e-11,5.261613367224527e-11,3.108624468950438e-15,1.407741902053442e-14,960950.6791590708,5435357.106861306,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,7,0.01658421408152501
stage_4_step_2km,4,2,10280.24671170378,1003,10278.24671170378,1.444149525908777,True,True,10280.24671170378,2,1.444149478555665,-4.73531116540471e-08,2.922282425372846,1.278261238220302e-13,5.546052506133492e-11,5.546141323975462e-11,3.552713678800501e-15,9.227808729182793e-14,998914.2249785926,5867197.547494893,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,7,0.01770917336268157
stage_5_step_2km,5,2,10282.24671170378,1004,10280.24671170378,1.444149478555665,True,True,10282.24671170377,1.999999999987267,1.444149428706982,-4.98486834032974e-08,2.922282424169302,9.274468559736257e-12,5.84763348854267e-11,5.84772230638464e-11,3.108624468950438e-15,8.822800135275325e-12,1044640.003495034,6409952.797792777,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,7,0.019049515437282
stage_6_step_2km,6,2,10284.24671170377,1005,10282.24671170377,1.444149428706982,True,True,10284.24671170377,2,1.444149375514122,-5.319286011662427e-08,2.922282422890282,4.371285281023961e-14,6.139400099414161e-11,6.139488917256131e-11,3.996802888650564e-15,1.393570831986708e-14,1102281.905236458,7119713.376419632,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,9,0.02
stage_7_step_2km,7,2,10286.24671170377,1006,10284.24671170377,1.444149375514122,True,True,10286.24671170377,2,1.444149317596975,-5.79171468562123e-08,2.922282421502092,4.963002185149774e-14,6.376810191000004e-11,6.376854599920989e-11,2.220446049250313e-15,1.466709181090904e-14,1216475.07459647,8102311.930492359,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,9,0.02
stage_8_step_2km,8,2,10288.24671170377,1007,10286.24671170377,1.444149317596975,True,True,10288.24671170377,1.999999999998181,1.444149252257542,-6.533943297526434e-08,2.922282419942118,1.562525946638789e-13,6.531042373580931e-11,6.531131191422901e-11,3.108624468950438e-15,5.248459130674268e-14,1410781.925779217,9589535.339590028,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,9,0.02
stage_9_step_2km,9,2,10290.24671170377,1008,10288.24671170377,1.444149252257542,True,True,10290.24671170377,2,1.444149173149763,-7.910777877206954e-08,2.922282418062052,3.737532904714986e-14,6.553824150046239e-11,6.553912967888209e-11,3.552713678800501e-15,4.554866407193552e-15,1794053.983650519,12233591.72332496,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,11,0.02
stage_10_step_2km,10,2,10292.24671170377,1009,10290.24671170377,1.444149173149763,True,True,10292.24671170377,2,1.444149057268438,-1.158813247581492e-07,2.922282415324744,4.602619592650538e-14,6.304601285478384e-11,6.304734512241339e-11,3.996802888650564e-15,1.410560949457552e-14,2806038.702503627,19220186.41659274,True,True,True,False,True,True,True,True,gate_4_rho_monotone,,gate_4_rho_monotone,14,0.02
