member_id,source_attempt_id,revalidated_acceptance,max_abs_z_km,delta_max_abs_z_km,rho_rad,delta_rho_rad,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,original_gate_4_rho_monotone,turn_gate_4_amplitude_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,turn_failed_gates,failure_reason,newton_iterations,max_correction_norm
1001,stage_1_step_2km,True,10274.24671170378,2,1.444149615059538,-4.241973061702708e-08,4.69464615426063e-14,4.633715633417523e-11,4.633893269101463e-11,4.440892098500626e-15,9.044936037416649e-15,909009.8566997099,4800136.587969109,True,True,True,False,True,True,True,True,,,0,0
1002,stage_2_step_2km,True,10276.24671170378,2,1.444149571289348,-4.377019013901418e-08,4.252720352098744e-14,4.947642295860533e-11,4.947731113702503e-11,2.664535259100376e-15,2.020558217230931e-14,934797.4035870696,5099121.831169291,True,True,True,False,True,True,True,True,,,0,0
1003,stage_3_step_2km,True,10278.24671170378,2,1.444149525908777,-4.538057063463441e-08,3.543716286774034e-14,5.261613367224527e-11,5.261613367224527e-11,3.108624468950438e-15,1.407741902053442e-14,965875.9649366722,5456311.085057117,True,True,True,False,True,True,True,True,,,0,0
1004,stage_4_step_2km,True,10280.24671170378,2,1.444149478555665,-4.73531116540471e-08,1.278261238220302e-13,5.546052506133492e-11,5.546141323975462e-11,3.552713678800501e-15,9.227808729182793e-14,1004539.42768214,5892811.328594155,True,True,True,False,True,True,True,True,,,0,0
1005,stage_5_step_2km,True,10282.24671170377,1.999999999987267,1.444149428706982,-4.98486834032974e-08,9.274468559736257e-12,5.84763348854267e-11,5.84772230638464e-11,3.108624468950438e-15,8.822800135275325e-12,1051056.729155511,6442232.009321488,True,True,True,False,True,True,True,True,,,0,0
1006,stage_6_step_2km,True,10284.24671170377,2,1.444149375514122,-5.319286011662427e-08,4.371285281023961e-14,6.139400099414161e-11,6.139488917256131e-11,3.996802888650564e-15,1.393570831986708e-14,1109880.851473403,7162146.894813173,True,True,True,False,True,True,True,True,,,0,0
1007,stage_7_step_2km,True,10286.24671170377,2,1.444149317596975,-5.79171468562123e-08,4.963002185149774e-14,6.376810191000004e-11,6.376854599920989e-11,2.220446049250313e-15,1.466709181090904e-14,1226565.642206564,8161675.444987258,True,True,True,False,True,True,True,True,,,0,0
1008,stage_8_step_2km,True,10288.24671170377,1.999999999998181,1.444149252257542,-6.533943297526434e-08,1.562525946638789e-13,6.531042373580931e-11,6.531131191422901e-11,3.108624468950438e-15,5.248459130674268e-14,1425277.631080392,9681394.313346175,True,True,True,False,True,True,True,True,,,0,0
1009,stage_9_step_2km,True,10290.24671170377,2,1.444149173149763,-7.910777877206954e-08,3.737532904714986e-14,6.553824150046239e-11,6.553912967888209e-11,3.552713678800501e-15,4.554866407193552e-15,1819114.365200493,12405831.69637914,True,True,True,False,True,True,True,True,,,0,0
1010,stage_10_step_2km,True,10292.24671170377,2,1.444149057268438,-1.158813247581492e-07,4.602619592650538e-14,6.304601285478384e-11,6.304734512241339e-11,3.996802888650564e-15,1.410560949457552e-14,2884073.612641938,19765809.35836427,True,True,True,False,True,True,True,True,,,0,0
1011,stage_11_step_1km,True,10293.24671170369,0.9999999999181455,1.444148981855988,-7.541245028441779e-08,1.51151009977388e-12,5.96065419244951e-11,5.96074301029148e-11,2.664535259100376e-15,1.251978157011475e-12,5206131.46606335,37368274.48364936,True,True,True,False,True,True,True,True,,,0,0
