branch,time_index,curve_index,time_nd,time_days,base_x,base_y,base_z,manifold_x,manifold_y,manifold_z,state_separation_norm,position_separation_norm,eigenvalue_real,eigenvalue_imag,eigenvalue_abs,perturbation_scale,mean_state_growth,expected_growth,mapping_time_days,base_family,base_orbit_amplitude_nd,mode_amplitude_nd
unstable,0,0,0,0,0.8369051799981074,3.325894288931978e-08,9.993310991491424e-05,0.8369052093245185,1.976831745177883e-08,9.993310343189724e-05,9.999999999030322e-08,3.228057315789753e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,1,0,0,0.8369075183227936,2.300250820897741e-05,9.993210847398323e-05,0.8369075476478416,2.298901571931367e-05,9.993210199133295e-05,1.000000000000074e-07,3.228011394585176e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,2,0,0,0.8369134266072136,3.520878902007836e-05,9.992958276782718e-05,0.8369134559307106,3.519529439551988e-05,9.992957628506993e-05,9.99999999963208e-08,3.227959749912758e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,3,0,0,0.8369201393857263,3.094052163099469e-05,9.992672740584182e-05,0.8369201687082101,3.092702559987976e-05,9.992672092255255e-05,1.000000000036252e-07,3.227926505651135e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,4,0,0,0.8369245160291019,1.219458553617969e-05,9.992487334461868e-05,0.8369245453515842,1.218108948520891e-05,9.99248668606201e-05,9.999999999025635e-08,3.227927204735022e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,5,0,0,0.8369245096476426,-1.225757126663787e-05,9.992487352799968e-05,0.8369245389711367,-1.227106594147618e-05,9.992486704344742e-05,9.999999999683125e-08,3.227961579613502e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,6,0,0,0.8369201232509397,-3.097417385443118e-05,9.992672789294037e-05,0.8369201525759852,-3.098766640126394e-05,9.992672140825063e-05,1.00000000012243e-07,3.228013562300418e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,7,0,0,0.8369134082805242,-3.519748558930386e-05,9.992958339560301e-05,0.8369134376069343,-3.521097625205396e-05,9.992957691125585e-05,1.000000000157935e-07,3.228058784400443e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,8,0,0,0.8369075063772214,-2.295160457625278e-05,9.993210891997041e-05,0.8369075357041706,-2.296509448024054e-05,9.993210243628391e-05,1.000000000129875e-07,3.228076054183784e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,0,0.1204064894286791,0.5228049770993245,0.836905572918061,9.945726576452067e-06,9.621587047532786e-05,0.8369056146601316,9.926523301106833e-06,9.621585774070443e-05,1.42338435496375e-07,4.594743085614527e-08,3360.637129803173,0,3360.637129803173,1e-07,3361.932622802472,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
