curve_index,time_index,time_nd,time_days,x,y,z,xdot,ydot,zdot,jacobi,curve_jacobi_span,moon_distance_nd,perturbation_sign,perturbation_scale,duration_periods,eigenvalue_abs
0,0,0,0,0.8369051506716964,4.674956832686072e-08,9.993311639793124e-05,-6.43542650245022e-08,8.34690297344889e-05,-1.000799002310925e-07,3.188341060505325,1.820765760385257e-14,0.1509442967991976,-1,1e-07,2.5,3360.637129803173
1,0,0,0,0.8369074889977457,2.301600069864115e-05,9.993211495663352e-05,1.488897323769229e-05,6.389761561317884e-05,-9.444070167399999e-08,3.188341060505348,1.953992523340276e-14,0.1509419602277586,-1,1e-07,2.5,3360.637129803173
2,0,0,0,0.8369133972837165,3.522228364463683e-05,9.992958925058444e-05,2.283175090559768e-05,1.443945674683231e-05,-9.142404720556415e-08,3.188341060505432,1.687538997430238e-14,0.1509360542963605,-1,1e-07,2.5,3360.637129803173
3,0,0,0,0.8369201100632425,3.095401766210962e-05,9.99267338891311e-05,2.004985970789827e-05,-4.176483876830584e-05,-9.245351902498417e-08,3.188341060505473,1.643130076445232e-14,0.1509293405808686,-1,1e-07,2.5,3360.637129803173
4,0,0,0,0.8369244867066196,1.220808158715047e-05,9.992487982861727e-05,7.849208623773866e-06,-7.841590314330348e-05,-9.707778134450363e-08,3.188341060505473,1.865174681370263e-14,0.150924961256798,-1,1e-07,2.5,3360.637129803173
5,0,0,0,0.8369244803241486,-1.224407659179956e-05,9.992488001255194e-05,-8.062212535628994e-06,-7.836244900959133e-05,-1.03131777183288e-07,3.188341060505466,1.820765760385257e-14,0.1509249676421835,-1,1e-07,2.5,3360.637129803173
6,0,0,0,0.8369200939258942,-3.096068130759841e-05,9.992673437763011e-05,-2.024386332809184e-05,-4.162967534252957e-05,-1.077519001111376e-07,3.18834106050541,1.820765760385257e-14,0.1509293567195802,-1,1e-07,2.5,3360.637129803173
7,0,0,0,0.8369133789541141,-3.518399492655377e-05,9.992958987995017e-05,-2.299654327353587e-05,1.459282809807281e-05,-1.087668342745064e-07,3.188341060505337,2.087219286295294e-14,0.1509360726170286,-1,1e-07,2.5,3360.637129803173
8,0,0,0,0.8369074770502722,-2.293811467226501e-05,9.99321154036569e-05,-1.502789208122777e-05,6.399752927447953e-05,-1.057294887883523e-07,3.188341060505324,1.687538997430238e-14,0.1509419721633734,-1,1e-07,2.5,3360.637129803173
0,1,0.02896808846087468,0.1257794400971178,0.8369051714321054,2.462821413033711e-06,9.971448832129891e-05,1.496964690201038e-06,8.327671677719826e-05,-1.498889579383971e-05,3.188341060505325,1.820765760385257e-14,0.1509442759142926,-1,1e-07,2.5,3360.637129803173
