member_index,continuation_method,mode_amplitude_nd,spectral_samples,dg_dimension,base_z0_nd,base_orbit_jacobi,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,mean_jacobi,curve_jacobi_span,curve_residual_norm,determinant,determinant_error,unstable_ring_radius_median,unstable_ring_radius_min,unstable_ring_radius_max,unstable_ring_relative_span,stability_index,paper_stability_index,stability_index_error,acceptance
0,natural_anchor,2.000000000002574e-06,25,150,0.009505093924390853,3.0439999999990395,1.5451432804283267,6.709012123619794,0.8556387118577072,7.3432690925565325,3.0439999999999965,2.532773990537862e-11,1.8984831606983814e-11,1.0000000004032064,4.0320635719126585e-10,2.3596208013958897,2.3596207993004965,2.442633558638114,0.03518055074294529,1.391708854764892,1.3837,0.008008854764891993,fail
1,natural_anchor,5.0000000002983246e-06,25,150,0.009505093924390853,3.0439999999990395,1.5451432804114138,6.7090121235463585,0.855638463659236,7.343271222647967,3.0439999999999974,3.354001520960992e-09,2.2695616765525054e-11,1.0000000004219984,4.219984361952811e-10,2.3596208029366426,2.359611788098992,4.916933834321106,1.0837851755839008,1.391708855396906,1.3837,0.00800885539690599,fail
2,pseudo_arclength,7.783511965358777e-06,25,150,0.009505093924390853,3.0439999999990395,1.5451432803804597,6.709012123411956,0.8556377687040587,7.3432771869059055,3.0439999999999987,1.824644790815455e-08,1.834194539375554e-11,0.9999999998754436,1.2455636522190616e-10,2.359620798395353,2.3566755000245245,7.3169595767914055,2.1021530578727288,1.3917088535340776,1.3837,0.008008853534077653,fail
3,pseudo_arclength,1.0641029176727876e-05,25,150,0.009505093924390853,3.0439999999990395,1.545143280334758,6.709012123213519,0.8556368625303103,7.343284963902556,3.0439999999998206,1.5596262148420692e-07,8.590972075842237e-10,0.9999999995201598,4.798401675998321e-10,2.3596211593592,2.3471041417153,9.744458540884416,3.1349754471510205,1.3917090016007632,1.3837,0.008009001600763233,fail
4,pseudo_arclength,1.385880240085258e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432802699767,6.709012122932238,0.855638634959058,7.343269752516767,3.0440000000000005,6.860143448861322e-07,6.373767363521171e-10,0.9999999980892209,1.9107790905081856e-09,2.3596989283763112,1.9704155434278772,12.308118428147178,4.3809414668983155,1.3917409025353544,1.3837,0.0080409025353545,fail
5,pseudo_arclength,1.8847992310738232e-05,25,150,0.009505093924390853,3.0439999999990395,1.545143280117552,6.70901212227041,0.8556488716395093,7.343181900234813,3.043999999999897,1.057479231292291e-06,1.3664797645893945e-09,1.000000001736785,1.736784938088931e-09,2.362064151109837,2.018664057781767,16.30495897278555,6.048224773358183,1.3927113391198265,1.3837,0.009011339119826545,fail
6,pseudo_arclength,2.0132939159680806e-05,25,150,0.009505093924390853,3.0439999999990395,1.545143280068097,6.709012122055677,0.8556518142489465,7.343156646836178,3.0439999999998535,1.2220715315258701e-06,1.6596396289718677e-09,0.9999999988519921,1.1480079109560393e-09,2.362905568096343,2.248398954883062,17.33126634310098,6.383186696863777,1.3930566698534013,1.3837,0.009356669853401334,fail
7,pseudo_arclength,2.1258693649202776e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432800243001,6.709012121865511,0.8556546857202874,7.343132004110304,3.043999999999831,1.3241452601064907e-06,1.8073166027766264e-09,1.000000000518364,5.183640183759053e-10,2.3958006449979656,2.3465576001463755,18.32296962333356,6.668506437104139,1.4065988221191066,1.3837,0.022898822119106654,fail
8,pseudo_arclength,2.2308856845051624e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432799790779,6.709012121669155,0.8556556202011979,7.343123984509288,3.0439999999999747,1.3770967397519485e-06,1.452167926056939e-09,1.0000000004893632,4.893632166158568e-10,2.5510395654368723,2.073262611954097,19.250165986889,6.733295558273051,1.4715183108378436,1.3837,0.08781831083784364,fail
9,pseudo_arclength,2.3767635792365924e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432799140459,6.709012121386786,0.8556581162341883,7.3431025639449645,3.0439999999999863,1.3904701714473333e-06,1.503621598956633e-09,1.0000000001544276,1.5442758183326077e-10,2.546141448066542,2.115560636211535,20.479695223247344,7.212535109147586,1.4694463026091134,1.3837,0.08574630260911342,fail
