member_index,max_abs_z_km,curve_samples,dg_dimension,determinant_error_from_one,minimum_unstable_relative_imaginary,minimum_stable_relative_imaginary,selected_unstable_eigenvalue,selected_stable_eigenvalue,complex_reciprocity_error,real_hyperbolic_status,failure_reason
17,10969.67553863909,45,270,7.212008767965017e-13,0.6242638760846616,0.6242638760846673,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.624264, tolerance is 1e-06"
18,11090.46056248965,45,270,2.442490654175344e-15,0.6235406756699036,0.6235406756699007,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.623541, tolerance is 1e-06"
19,11210.15500667104,45,270,3.590461261637756e-13,0.6228215177283275,0.6228215177283321,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.622822, tolerance is 1e-06"
20,11328.75956753762,45,270,6.217248937900877e-13,0.6221056840531278,0.6221056840531304,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.622106, tolerance is 1e-06"
21,11446.28707112277,45,270,9.570122472268849e-14,0.6213929200793279,0.6213929200793306,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.621393, tolerance is 1e-06"
22,11562.75536761691,45,270,6.683542608243442e-14,0.6206831899081953,0.6206831899081944,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.620683, tolerance is 1e-06"
23,11678.18410211348,45,270,6.341593916658894e-13,0.3428448895041821,0.3428448895040963,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.342845, tolerance is 1e-06"
24,11792.59312495219,45,270,4.662936703425657e-14,0.3427986989825274,0.3427986989825675,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.342799, tolerance is 1e-06"
25,11906.00166460638,45,270,3.022027073029676e-13,0.3427505859314894,0.3427505859315065,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.342751, tolerance is 1e-06"
26,12018.42786867017,45,270,6.863398738232718e-13,0.3427000077943355,0.3427000077943475,N/A,N/A,N/A,fail,"DG has no nearly real unstable hyperbolic eigenvalue; minimum relative imaginary part is 0.3427, tolerance is 1e-06"
