sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
0,0,0.9999592736609633,-5.832179513594678e-06,-2.164560651862853e-05,-0.1883306466919377,0.06652607477206821,0.3102512535394842,6564.533182015416,3.000730353764538
1,0.4818465985070511,1.000524815974223,0.0001726186814217429,0.0007203629901093126,0.05785369244852854,0.01150183467766811,0.0488143815911433,136069.3947285431,3.000730353763434
2,0.9636931970140505,1.000951044252442,0.0002479786729830704,0.001056565412812802,0.0464999638967021,0.007282574396567475,0.03465621269029869,216169.2341460416,3.000730353763436
3,1.445539795521102,1.001309429254183,0.0002984402130386099,0.001314271855478668,0.04045450546145608,0.005061238464150006,0.02814412839506143,281421.2624757839,3.000730353763432
4,1.927386394028101,1.001627101354572,0.0003337342554043709,0.001529774911598846,0.03642324942861862,0.003531229399833575,0.02412029351897908,338131.9497611326,3.000730353763437
5,2.409232992535101,1.001916072019136,0.0003579270671340962,0.001717342748511366,0.03343190750382632,0.002349643986916714,0.02128067967120413,388961.0446148633,3.000730353763438
6,2.891079591042152,1.002183040040056,0.0003732616689876228,0.001884406213079987,0.03106747639786174,0.001378496721564081,0.01911732529047695,435355.4404701917,3.000730353763446
7,3.372926189549151,1.002432238952538,0.0003811682658169633,0.002035444326348648,0.029118604017102,0.0005490284420120129,0.01738472077261306,478215.7171518425,3.000730353763446
8,3.854772788056202,1.002666566486754,0.0003826454527377537,0.002173415439109452,0.02746353861528567,-0.0001778486263449089,0.01594733635369443,518152.1771640295,3.000730353763447
9,4.336619386563202,1.002888119647855,0.0003784355015325305,0.002300400752418011,0.02602615145229148,-0.0008264500817924109,0.01472322878661809,555603.5535193512,3.000730353763447
10,4.818465985070253,1.003098479832885,0.0003691160398101206,0.002417933760739577,0.02475587912888978,-0.001412929964526385,0.01365944922032913,590899.2650429655,3.000730353763444
11,5.300312583577252,1.003298878135856,0.0003551525981709287,0.002527185194649518,0.02361754387063351,-0.001948572145934649,0.01272000146775495,624295.067314876,3.000730353763442
12,5.782159182084303,1.003490297510244,0.0003369308726197592,0.002629074291707381,0.02258575462922162,-0.002441576462766531,0.01187941260969414,655994.8676935077,3.000730353763442
13,6.264005780591303,1.003673539156331,0.0003147776256964907,0.002724339466408016,0.02164162777084628,-0.002898095184475478,0.01111906096889804,686164.7853275274,3.000730353763442
14,6.745852379098354,1.003849267445033,0.0002889748246106756,0.002813585191524667,0.02077076656318446,-0.003322867678278741,0.01042496245455916,714942.6001197541,3.000730353763442
