theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
0,0,40.0,30.0,130816.47274771366,-425.8577972633515,1.0,4.2730263771773025e-12
0,1,40.0,31.0,123095.27997101219,-426.2180525544119,1.0,6.119549311733863e-12
0,2,40.0,32.0,115354.17405312287,-426.60072664510653,1.0,1.8398615964088094e-12
0,3,40.0,33.0,107659.06604584672,-426.99995481435127,1.0,2.673417043297377e-12
0,4,40.0,34.0,100077.53426436399,-427.4092515373326,1.0,1.943334382303874e-12
0,5,40.0,35.0,92675.8000803452,-427.8217060976794,1.0,4.2534864519439e-12
0,6,40.0,36.0,85515.56489371971,-428.2302433626509,1.0,3.878231069620597e-12
0,7,40.0,37.0,78651.02353633381,-428.6279297922842,1.0,2.0263790645458357e-12
0,8,40.0,38.0,72126.26772801366,-429.0083247775502,1.0,2.05702122002549e-12
0,9,40.0,39.0,65973.35924092346,-429.36584144388684,1.0,4.630518191106603e-12
0,10,40.0,40.0,60211.36632774754,-429.6960709986002,1.0,1.9197976541818207e-12
0,11,40.0,41.0,54846.27850786297,-429.9960641795833,1.0,2.2093438190040615e-12
0,12,40.0,42.0,49871.95719810894,-430.26450722733966,1.0,1.233546598200519e-11
0,13,40.0,43.0,45271.836341816525,-430.5017942915513,1.0,2.41184849869569e-12
0,14,40.0,44.0,41021.21267822323,-430.70997939898405,1.0,1.3877343718604607e-11
0,15,40.0,45.0,37089.866688328926,-430.89261310769353,1.0,5.548450587866682e-12
0,16,40.0,46.0,33444.72291708479,-431.0544923813371,1.0,1.8471446594503504e-11
0,17,40.0,47.0,30052.359556188298,-431.20134764230124,1.0,8.463452161322493e-12
0,18,40.0,48.0,26881.220451241115,-431.3394977048674,1.0,2.1030288621659565e-11
0,19,40.0,49.0,23903.376098946857,-431.4755190775001,1.0,1.3629541939508272e-11
0,20,40.0,50.0,21095.893755322857,-431.6159276753444,1.0,1.1160850021951774e-11
0,21,40.0,51.0,18441.731444392248,-431.76691449666504,1.0,1.5799361818835678e-11
0,22,40.0,52.0,15930.218638443357,-431.9341339400227,1.0,5.764722033063663e-12
0,23,40.0,53.0,13557.199642382617,-432.1225348706585,1.0,5.3303583769093166e-11
0,24,40.0,54.0,11324.831140577233,-432.33624695627503,1.0,2.290345690880713e-11
0,25,40.0,55.0,9241.101302622354,-432.5785093495798,1.0,8.500755654949899e-12
0,26,40.0,56.0,7319.142785553531,-432.85161786081534,1.0,6.405009855825483e-11
0,27,40.0,57.0,5576.298862172857,-433.1569168912884,1.0,8.748690660809189e-11
0,28,40.0,58.0,4033.05602809198,-433.49479666725244,1.0,1.887112688336856e-11
0,29,40.0,59.0,2711.8262980170207,-433.8647159919216,1.0,2.6780355710798176e-11
0,30,40.0,60.0,1635.6394722993991,-434.26524903602945,1.0,4.5784709357121756e-11
0,31,40.0,61.0,826.8084784846329,-434.6941506135805,1.0,8.102079007699103e-10
0,32,40.0,62.0,305.6359353892618,-435.14844810414263,1.0,5.736215946683387e-10
0,33,40.0,63.0,89.23942799154591,-435.6245755089905,1.0,6.967071364272215e-10
0,34,40.0,64.0,190.6078691866346,-436.11852686221243,1.0,5.81854564529749e-10
0,35,40.0,65.0,617.968229783266,-436.62605492444317,1.0,8.847216292906523e-10
0,36,40.0,66.0,1374.5569926970697,-437.14289884237957,1.0,4.944800124917492e-10
0,37,40.0,67.0,2458.839273433999,-437.6650200291816,1.0,9.769252073965617e-11
0,38,40.0,68.0,3865.1968625641493,-438.1888589886064,1.0,2.7324364992864503e-11
0,39,40.0,69.0,5585.04149470466,-438.7115743731045,1.0,1.7357670856199547e-11
0,40,40.0,70.0,7608.253876065317,-439.2312475803618,1.0,2.419220379579201e-11
0,41,40.0,71.0,9924.83732388219,-439.7470497583807,1.0,1.0132783501148879e-11
0,42,40.0,72.0,12526.582346419504,-440.25932861443374,1.0,6.915801264995025e-12
0,43,40.0,73.0,15408.630824302665,-440.7696368644858,1.0,6.079581282847357e-12
0,44,40.0,74.0,18570.759016020933,-441.2806783994939,1.0,6.198597191087174e-12
0,45,40.0,75.0,22018.259047681822,-441.7961761113119,1.0,9.594991468020453e-12
0,46,40.0,76.0,25762.412186135556,-442.32069411138536,1.0,4.688693877596961e-12
0,47,40.0,77.0,29820.44869646644,-442.8593982665148,1.0,1.3735235171452587e-11
0,48,40.0,78.0,34215.04372961193,-443.4177891524254,1.0,4.070965786695524e-12
0,49,40.0,79.0,38973.39971929616,-444.00142711071135,1.0,6.718181566611747e-12
0,50,40.0,80.0,44125.87714870129,-444.61564267046504,1.0,7.530864820637362e-12
0,51,40.0,81.0,49704.222659592495,-445.265248656014,1.0,3.4487968036955863e-12
0,52,40.0,82.0,55739.459182719445,-445.9542701869518,1.0,6.850076061937216e-12
0,53,40.0,83.0,62259.39621038257,-446.6856805467414,1.0,8.069545032185488e-12
0,54,40.0,84.0,69285.76714159422,-447.46114073975576,1.0,3.055333763768431e-12
0,55,40.0,85.0,76831.11832590285,-448.28076244742306,1.0,3.098410417123887e-12
0,56,40.0,86.0,84895.43399019122,-449.1428754683317,1.0,3.0659919048048323e-12
0,57,40.0,87.0,88922.86790239961,-284.19961739062137,1.0,1.5210055437364645e-12
0,58,40.0,88.0,88258.84221722347,-284.18064890512744,1.0,1.6338042030383804e-12
0,59,40.0,89.0,87652.11112072073,-284.16401734451773,1.0,1.835864793520159e-12
0,60,40.0,90.0,87103.11444642232,-284.1473341297228,1.0,2.1009860518006462e-12
0,61,40.0,91.0,86611.09676474406,-284.12805451968967,1.0,2.3789858971667854e-12
0,62,40.0,92.0,86174.02799873518,-284.10359280860564,1.0,2.6116886431282182e-12
0,63,40.0,93.0,85788.64061241355,-284.07144606813887,1.0,2.7355895326763857e-12
0,64,40.0,94.0,85450.5897808936,-284.02931934058654,1.0,2.7142732506035827e-12
0,65,40.0,95.0,85154.72891672757,-283.97524661934693,1.0,2.5215385335286555e-12
0,66,40.0,96.0,84895.47850156379,-283.9077014765072,1.0,2.212452443473012e-12
0,67,40.0,97.0,84667.24962746975,-283.8256874427409,1.0,1.8611778784816124e-12
0,68,40.0,98.0,84464.88425607394,-283.7288075710625,1.0,1.575184427338172e-12
0,69,40.0,99.0,84284.0655897129,-283.6173052469471,1.0,1.433075880186152e-12
0,70,40.0,100.0,84121.65540214536,-283.49207047562595,1.0,1.4241940959891508e-12
1,0,41.0,30.0,134719.3145695895,-425.77441244251116,1.0,2.5441870832310087e-12
1,1,41.0,31.0,126940.6009246708,-426.1371249900207,1.0,2.375433183487985e-12
1,2,41.0,32.0,119114.40204759335,-426.5245037746053,1.0,1.7394974349826953e-12
1,3,41.0,33.0,111308.49548140528,-426.9306714421171,1.0,2.140954080687152e-12
1,4,41.0,34.0,103593.71139061748,-427.34898662147253,1.0,1.9739765377835283e-12
1,5,41.0,35.0,96040.83260412983,-427.7722197568503,1.0,2.4429347433851945e-12
1,6,41.0,36.0,88717.23468430093,-428.1928028532672,1.0,3.2502889268926083e-12
