theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
0,0,47.0,61.0,7815.9216968240935,-432.8160257311957,1.0,6.756906145710673e-11
0,1,47.0,61.25,7329.383256750244,-432.9033103722884,1.0,2.667333021122431e-11
0,2,47.0,61.5,6854.70842692246,-432.9930101853574,1.0,3.5711877899302635e-11
0,3,47.0,61.75,6392.379884883064,-433.0851056473437,1.0,4.141265108614789e-11
0,4,47.0,62.0,5942.886084293826,-433.17957241923244,1.0,3.370637102761975e-11
0,5,47.0,62.25,5506.716191610113,-433.276383210195,1.0,5.98929794648484e-11
0,6,47.0,62.5,5084.361161331221,-433.37550632812497,1.0,5.933964430937522e-11
0,7,47.0,62.75,4676.30909119743,-433.47690751061805,1.0,1.5081713655717977e-10
0,8,47.0,63.0,4283.0471449842125,-433.5805476970219,1.0,1.4665646475009453e-10
1,0,47.25,61.0,8120.4070150508605,-432.7922403674585,1.0,8.50564063625825e-12
1,1,47.25,61.25,7625.893072156777,-432.8785843322041,1.0,9.107825604814934e-12
1,2,47.25,61.5,7143.051887285446,-432.9673311428511,1.0,9.896083952298795e-12
1,3,47.25,61.75,6672.364249940489,-433.05846153150304,1.0,1.0680789586103856e-11
1,4,47.25,62.0,6214.311753233598,-433.15195431749316,1.0,1.063424903691157e-10
1,5,47.25,62.25,5769.381752705638,-433.24778305395705,1.0,1.2498890811230012e-11
1,6,47.25,62.5,5338.05952903416,-433.3459194740466,1.0,1.2474465904688259e-11
1,7,47.25,62.75,4920.832953906788,-433.44633000582877,1.0,1.389643955462816e-11
1,8,47.25,63.0,4518.187014001479,-433.5489778639502,1.0,1.9517720772910252e-11
2,0,47.5,61.0,8424.926874502711,-432.7715270677839,1.0,7.73123787212171e-11
2,1,47.5,61.25,7922.6948315383515,-432.8569284234258,1.0,8.735723255881567e-11
2,2,47.5,61.5,7431.955294275118,-432.9447158331077,1.0,4.125988439795947e-11
2,3,47.5,61.75,6953.18185761188,-433.03487253938954,1.0,4.374056672418192e-11
2,4,47.5,62.0,6486.85252887961,-433.1273783495578,1.0,1.9975132659055816e-11
2,5,47.5,62.25,6033.447542350269,-433.2222100615907,1.0,3.721378760701555e-11
2,6,47.5,62.5,5593.450874396137,-433.31933983877786,1.0,5.623279619726418e-11
2,7,47.5,62.75,5167.345564479797,-433.41873666448885,1.0,2.19859686012569e-11
2,8,47.5,63.0,4755.611931533354,-433.5203677964456,1.0,1.4493917177560434e-10
3,0,47.75,61.0,8729.173764895,-432.7538708557785,1.0,1.0725642596298712e-11
3,1,47.75,61.25,8219.479305625415,-432.8383278312272,1.0,9.100720177457333e-12
3,2,47.75,61.5,7721.1052618058375,-432.9251510821585,1.0,9.093170660889882e-12
3,3,47.75,61.75,7234.519782727955,-433.01432504768457,1.0,9.836131908969037e-12
3,4,47.75,62.0,6760.192411578521,-433.10583257185584,1.0,1.0437872788315872e-11
3,5,47.75,62.25,6298.599267437888,-433.19965162288537,1.0,1.1930012533412082e-11
3,6,47.75,62.5,5850.218874464359,-433.2957565936444,1.0,1.1759482276829658e-11
3,7,47.75,62.75,5415.529806396365,-433.3941186680887,1.0,1.1198375560184104e-10
3,8,47.75,63.0,4995.00938336098,-433.49470642831324,1.0,1.3868906023617456e-11
4,0,48.0,61.0,9032.852803664942,-432.7392537671483,1.0,8.08020317322189e-12
4,1,48.0,61.25,8515.94879015746,-432.82276515586614,1.0,1.0006662165551461e-11
4,2,48.0,61.5,8010.203885752663,-432.9086190136959,1.0,8.629275072280507e-11
4,3,48.0,61.75,7516.075947207923,-432.99680292476626,1.0,8.150413677299184e-11
4,4,48.0,62.0,7034.029835374918,-433.0873004386989,1.0,7.705924787160257e-11
4,5,48.0,62.25,6564.533971254317,-433.1800920578155,1.0,3.5362823780360486e-11
4,6,48.0,62.5,6108.06092892839,-433.275154200668,1.0,4.644373774453925e-11
4,7,48.0,62.75,5665.084207549105,-433.37245999916775,1.0,5.786882084635181e-11
4,8,48.0,63.0,5236.076339154057,-433.47198009539346,1.0,2.433209189689478e-11
5,0,48.25,61.0,9335.682097039844,-432.72765491234503,1.0,7.284617353775502e-11
5,1,48.25,61.25,8811.81984768487,-432.81021936958484,1.0,2.900835127661594e-11
