mode,panel,sample,epoch_utc,phase_deg,time_days,x_sun_moon_km,y_sun_moon_km,z_sun_moon_km,earth_moon_distance_km,sun_moon_distance_km,lunar_eclipse,earth_occultation,cr3bp_jacobi_span,frame_orthogonality_error,eclipse_duration_hours,earth_occultation_hours,minimum_shadow_clearance_km
phase,0,0,2020-06-15T00:00:00Z,0,0,-31182.08046069512,71439.20884850698,6772.259852379353,404594.2130521645,151832286.1336902,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,1,2020-06-15T00:00:00Z,0,0.4108447800076652,-17866.46677793901,76467.31980423135,5936.044209913362,404510.8865022621,151808864.0651621,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,2,2020-06-15T00:00:00Z,0,0.8216895600153303,-5083.610213203839,81538.31861376524,5168.885849433507,404225.9993983916,151786345.6053577,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,3,2020-06-15T00:00:00Z,0,1.232534340022996,6630.001766466969,86375.13341036839,4479.131102666626,403748.6765177891,151764913.1574689,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,4,2020-06-15T00:00:00Z,0,1.643379120030661,16943.44114586273,90694.18349545394,3861.338379420291,403090.1348104874,151744744.6131546,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,5,2020-06-15T00:00:00Z,0,2.054223900038326,25734.96354532356,94219.99367262458,3299.326042976652,402263.4572596659,151726012.8242823,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,6,2020-06-15T00:00:00Z,0,2.465068680045991,33046.25371308967,96706.07965576291,2771.780080874807,401283.3439515887,151708884.936002,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,7,2020-06-15T00:00:00Z,0,2.875913460053656,39026.88405759253,97954.1839545664,2257.361762460187,400165.8420168294,151693521.5696761,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,8,2020-06-15T00:00:00Z,0,3.286758240061321,43887.19257922526,97824.70534804698,1738.085709322884,398928.0567425446,151680075.8496032,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,9,2020-06-15T00:00:00Z,0,3.697603020068986,47863.28064979691,96238.11899377717,1201.08215611913,397587.8470012834,151668692.2736227,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,10,2020-06-15T00:00:00Z,0,4.108447800076651,51192.39482071827,93170.43322251631,639.2590069997532,396163.5091588744,151659505.4345421,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,11,2020-06-15T00:00:00Z,0,4.519292580084318,54095.7717044041,88645.82639405319,51.3371288376693,394673.4547560841,151652638.6067818,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,12,2020-06-15T00:00:00Z,0,4.930137360091982,56766.29417519852,82728.75485054441,-558.413840019788,393135.8884283279,151648202.2204584,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,13,2020-06-15T00:00:00Z,0,5.340982140099647,59358.9973081008,75517.11391686724,-1180.544863016057,391568.4936349752,151646292.2530001,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,14,2020-06-15T00:00:00Z,0,5.751826920107312,61983.34145426552,67137.73276100388,-1800.815590091905,389988.1347067711,151646988.5758677,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,15,2020-06-15T00:00:00Z,0,6.162671700114977,64697.37237843606,57745.43336659954,-2400.624811197795,388410.5843559888,151650353.3005399,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,16,2020-06-15T00:00:00Z,0,6.573516480122643,67505.61995820163,47526.50481017042,-2957.653632576257,386850.2860239224,151656429.1730659,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,17,2020-06-15T00:00:00Z,0,6.984361260130307,70364.45759520949,36705.60624060304,-3447.061626413546,385320.1601479843,151665238.0696943,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,18,2020-06-15T00:00:00Z,0,7.395206040137973,73198.51091247321,25550.93036672848,-3843.603806204857,383831.4625580152,151676779.6469276,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,19,2020-06-15T00:00:00Z,0,7.806050820145638,75926.12555588144,14368.2630573904,-4124.609290662047,382393.7017240301,151691030.1975949,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,20,2020-06-15T00:00:00Z,0,8.216895600153302,78482.144593794,3477.473365338468,-4272.906775193173,381014.6195029667,151707941.7601397,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,21,2020-06-15T00:00:00Z,0,8.627740380160969,80823.53756659594,-6822.345166299925,-4278.405766463206,379700.237455658,151727441.5215121,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,22,2020-06-15T00:00:00Z,0,9.038585160168635,82915.4806776339,-16283.00731190375,-4137.932363674812,378454.9678600492,151749431.5452976,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,23,2020-06-15T00:00:00Z,0,9.449429940176298,84709.74582312655,-24722.05348193427,-3854.166031547393,377281.7854129588,151773788.8466732,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,24,2020-06-15T00:00:00Z,0,9.860274720183964,86128.41047239477,-32024.28304653491,-3434.761846097728,376182.4524904656,151800365.8252559,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,25,2020-06-15T00:00:00Z,0,10.27111950019163,87057.77844219,-38137.76096097595,-2892.131227446902,375157.7879397059,151828991.0567264,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,26,2020-06-15T00:00:00Z,0,10.68196428019929,87351.04169113241,-43070.02104917423,-2243.796107616654,374207.9668867381,151859470.4350108,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,27,2020-06-15T00:00:00Z,0,11.09280906020696,86836.73258691747,-46886.3950492748,-1513.047144089036,373332.8371334347,151891588.6493673,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,28,2020-06-15T00:00:00Z,0,11.50365384021462,85331.00667040676,-49709.96953121483,-729.6582379850333,372532.2364902375,151925110.9752726,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,29,2020-06-15T00:00:00Z,0,11.91449862022229,82653.06571757939,-51721.52609201288,69.54719639306495,371806.2949208459,151959785.3545434,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,30,2020-06-15T00:00:00Z,0,12.32534340022995,78643.82210656554,-53157.1067770763,840.4922961188786,371155.7056783268,151995344.7384263,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,31,2020-06-15T00:00:00Z,0,12.73618818023762,73188.12958131224,-54300.03773702589,1532.295321934682,370581.9506726735,152031509.6669083,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,32,2020-06-15T00:00:00Z,0,13.14703296024529,66240.56810065611,-55463.31714732896,2088.798790139947,370087.4670784048,152067991.0575702,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,33,2020-06-15T00:00:00Z,0,13.55787774025295,57853.82488186911,-56957.97668376621,2451.785341671493,369675.7446024393,152104493.1771603,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,34,2020-06-15T00:00:00Z,0,13.96872252026061,48206.97939326364,-59045.57316465779,2566.623264796828,369351.3458043396,152140716.7679724,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,35,2020-06-15T00:00:00Z,0,14.37956730026828,37627.38248768497,-61882.20431065112,2390.882616347844,369119.8452995642,152176362.2985058,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
phase,0,36,2020-06-15T00:00:00Z,0,14.79041208027595,26591.04542800351,-65477.544045112,1905.096535558199,368987.6874737361,152211133.3034033,0,0,4.440892098500626e-15,4.440892098500626e-16,0,0,800.8526957418517
