theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
0,0,0.0,0.0,160776.6330603111,-430.5721197514579,1.0,3.4017233474514796e-12
0,1,0.0,22.5,12989.03151994889,-438.099695643798,1.0,2.857625247543183e-11
0,2,0.0,45.0,152467.61693718418,-283.4649377686349,1.0,3.1254998589247407e-12
0,3,0.0,67.5,130162.21405886493,-281.7451884794768,1.0,3.664180070472867e-12
0,4,0.0,90.0,105663.8197477089,-335.9914285808365,1.0,2.2013502132267604e-12
0,5,0.0,112.5,118076.954653904,-335.5262806949805,1.0,1.7053025658242404e-12
0,6,0.0,135.0,207473.3292598245,-337.58042577402796,1.0,8.060219158778636e-13
0,7,0.0,157.5,299347.6284735983,-431.1814489318156,1.0,1.872724197937714e-12
0,8,0.0,180.0,162123.45739092084,-430.3794394684978,1.0,2.4851232183209504e-12
0,9,0.0,202.5,12536.609497610689,-438.39189320903495,1.0,6.966427434917932e-12
0,10,0.0,225.0,152566.7477604325,-283.52875421327263,1.0,3.346212196220222e-12
0,11,0.0,247.5,129754.17147666986,-281.64675902504456,1.0,3.7125857943465235e-12
0,12,0.0,270.0,106126.42528875865,-335.88486403758003,1.0,2.2728485760126205e-12
0,13,0.0,292.5,116995.7602938846,-335.98328022663674,1.0,1.9833024111903796e-12
0,14,0.0,315.0,206912.64593428455,-337.0552743230703,1.0,8.628653347386717e-13
0,15,0.0,337.5,298244.5622650995,-431.4806462391867,1.0,1.5853984791647235e-12
1,0,30.0,0.0,218636.6826438096,-283.4486213745152,1.0,1.1151080059335072e-12
1,1,30.0,22.5,137262.63828594264,-426.42419714381526,1.0,1.7257306694773433e-12
1,2,30.0,45.0,17187.903310538208,-431.5994979995401,1.0,8.65396643234817e-12
1,3,30.0,67.5,29940.126154547226,-444.0464623079815,1.0,4.452882507166578e-12
1,4,30.0,90.0,91220.89034275296,-282.9018520468385,1.0,4.377831430701917e-12
1,5,30.0,112.5,102881.7074079754,-281.77344971710005,1.0,6.369127447669598e-12
1,6,30.0,135.0,133394.71027162587,-280.35291978973964,1.0,7.993605777301127e-13
1,7,30.0,157.5,181104.0614262782,-280.79626099064797,1.0,1.2221335055073723e-12
1,8,30.0,180.0,225885.04710703058,-284.79246212167965,1.0,1.638245095136881e-12
1,9,30.0,202.5,143198.37777433105,-425.48906299610593,1.0,1.865174681370263e-12
1,10,30.0,225.0,16304.587845741891,-431.91634919733025,1.0,4.829026067909581e-12
1,11,30.0,247.5,28480.356491905368,-443.6429000418443,1.0,4.2299497238218464e-12
1,12,30.0,270.0,91887.884986045,-283.2428092567138,1.0,1.4184209362611e-12
1,13,30.0,292.5,101264.9601119366,-281.4369622749348,1.0,3.812949955772638e-12
1,14,30.0,315.0,131801.88294754244,-280.12970766202994,1.0,7.531752999057062e-13
1,15,30.0,337.5,189385.50392571685,-281.82897672897946,1.0,1.0893508317622036e-12
2,0,60.0,0.0,131478.4511382263,-283.27848857352643,1.0,1.1568523916594131e-12
2,1,60.0,22.5,165187.88461777157,-286.46506432059465,1.0,1.2452261444195756e-12
2,2,60.0,45.0,101235.75665284476,-430.1385595117751,1.0,1.8816059821347153e-12
2,3,60.0,67.5,7804.936535873355,-435.5609262715007,1.0,8.774714288506402e-11
2,4,60.0,90.0,25742.095919220956,-444.0962798325024,1.0,1.5921042262334595e-11
2,5,60.0,112.5,78333.33766234237,-284.7417868219408,1.0,9.991563132416559e-12
2,6,60.0,135.0,77674.57910665822,-282.63833600497054,1.0,1.7257306694773433e-12
2,7,60.0,157.5,94618.12921630584,-282.0459938947197,1.0,1.5427659150191175e-12
2,8,60.0,180.0,133197.9172567196,-283.5910169772226,1.0,1.1657341758564144e-12
2,9,60.0,202.5,159449.15370095987,-284.86847194999774,1.0,1.3020695632803836e-12
2,10,60.0,225.0,93286.95265182431,-431.0138125166521,1.0,2.1898038937706588e-12
2,11,60.0,247.5,9962.316188277671,-434.70178613548114,1.0,8.204104062770057e-12
2,12,60.0,270.0,28078.843216699748,-444.69296707332614,1.0,5.8473226260957745e-12
2,13,60.0,292.5,78703.32721503614,-284.2602584466078,1.0,2.5832669336978142e-12
2,14,60.0,315.0,78955.81976558392,-283.4418270084267,1.0,8.36575253515548e-12
2,15,60.0,337.5,91942.67464979726,-281.36776303336626,1.0,8.495426584431698e-13
3,0,90.0,0.0,81097.94396814087,-284.1904595079133,1.0,3.4132696669075813e-12
3,1,90.0,22.5,103449.21572301358,-285.0789191850721,1.0,2.1258550475522497e-12
3,2,90.0,45.0,129318.10600275616,-284.5660414444378,1.0,2.929656517380863e-12
3,3,90.0,67.5,41228.917726688815,-446.74201053102496,1.0,3.8258285428582894e-12
3,4,90.0,90.0,1369.8087113072563,-451.74169302234577,1.0,2.39105624189051e-10
3,5,90.0,112.5,115186.70270949624,-287.0758982582522,1.0,1.220357148667972e-12
3,6,90.0,135.0,97701.85397051582,-285.588477060862,1.0,8.055778266680136e-13
3,7,90.0,157.5,81988.67633454726,-284.8234823727866,1.0,3.7618796966398804e-12
