sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
0,0,1.000031964395122,4.506660864928897e-06,-3.110544153249276e-05,0.1707049170126878,-0.2735186777981569,0.1522749960496124,7033.665176709252,3.00060957598247
1,0.3475613097135885,0.9996842850101663,-0.0003242136943230206,0.0005708242825613381,-0.05429526263153925,-0.022599908411076,0.06465828846846434,108779.7043395782,3.000609575982063
2,0.6951226194271253,0.9993921283475,-0.000427530075313322,0.0009013291591380419,-0.04465709954998945,-0.01356871838687753,0.0484697394180806,174526.3989332219,3.000609575982073
3,1.042683929140714,0.9991420228919663,-0.0004956577570259977,0.001166034449253233,-0.03941576576381173,-0.009611564636331071,0.04078319218688423,228659.3945028278,3.000609575982074
4,1.390245238854251,0.9989174484465375,-0.0005454222353157124,0.001394526325400333,-0.0359044056090103,-0.007196177000723485,0.0359604993155281,276153.4992905532,3.000609575982067
5,1.737806548567839,0.9987109119560033,-0.0005830895431857277,0.001598758488791364,-0.03329848788219727,-0.005488310356472945,0.03252710073879047,319104.41148931,3.000609575982073
6,2.085367858281376,0.9985181910441937,-0.0006118280631637799,0.001785058657029648,-0.03124235878577948,-0.004175881732247878,0.02989748617161443,358649.2674890129,3.000609575982077
7,2.432929167994964,0.9983366017564101,-0.0006335150177290868,0.001957285004191792,-0.02955227130379705,-0.003112227377030448,0.02778486145045515,395493.7830155267,3.000609575982078
8,2.780490477708501,0.9981643002889744,-0.0006493787580314731,0.002118008226176213,-0.02812173623046581,-0.002218041093009097,0.0260292882792608,430114.7439129666,3.000609575982079
9,3.128051787422038,0.9979999490314601,-0.0006602801828139595,0.002269049473516001,-0.02688389204739543,-0.001446119276617078,0.0245332733239258,462853.8301488834,3.000609575982079
10,3.475613097135627,0.9978425374965741,-0.0006668539352353038,0.002411758332376649,-0.02579419658052319,-0.0007663251820248235,0.02323339098685827,493966.7782017677,3.000609575982079
11,3.823174406849164,0.9976912780356089,-0.000669586397669085,0.002547170075855058,-0.02482158999098104,-0.0001583588227522447,0.02208627235944527,523651.5065563324,3.000609575982074
12,4.170735716562752,0.9975455411750678,-0.0006688620019463144,0.002676100885205474,-0.02394361274078049,0.0003920454425953725,0.0210610720570744,552065.3080321243,3.000609575982077
13,4.518297026276288,0.9974048134909994,-0.0006649923226469421,0.002799208661798224,-0.02314353636873864,0.0008952629565319191,0.02013514000534756,579335.9186711691,3.000609575982079
14,4.865858335989877,0.9972686690466409,-0.0006582352029682586,0.002917033564258128,-0.02240859087687618,0.001359057200183979,0.01929139855899773,605568.9486018392,3.000609575982076
15,5.213419645703414,0.9971367493757356,-0.0006488078064919652,0.00303002600067099,-0.02172882354225278,0.001789377888089506,0.01851668192281573,630853.0455686426,3.000609575982077
16,5.560980955417002,0.9970087490594366,-0.000636895806930942,0.003138566538058874,-0.02109633836406044,0.002190878699607845,0.01780064558213629,655263.5882180538,3.000609575982076
17,5.908542265130539,0.9968844050842085,-0.0006226600332256799,0.003242980423902319,-0.02050477401260871,0.002567264273820751,0.01713502742491958,678865.3936649868,3.000609575982076
18,6.256103574844127,0.9967634888270518,-0.0006062413860155947,0.003343548409879551,-0.01994893625147381,0.002921529394288812,0.01651313354067809,701714.7450212555,3.000609575982076
19,6.603664884557665,0.9966457999106008,-0.0005877645484388869,0.003440514973083185,-0.01942453331627373,0.003256127936730409,0.01592947193137273,723860.9380269193,3.000609575982075
20,6.951226194271253,0.9965311614170842,-0.0005673408364948373,0.003534094664975355,-0.018927981655534,0.00357309479211127,0.01537948618608802,745347.4802068355,3.000609575982075
21,7.29878750398479,0.9964194161082712,-0.0005450704227037164,0.003624477086983513,-0.01845626083330613,0.003874135540726532,0.01485935829373398,766213.0341114078,3.000609575982075
22,7.646348813698379,0.996310423402464,-0.0005210440950468282,0.003711830841275985,-0.0180068034624606,0.004160693533634752,0.01436586026427212,786492.1688699989,3.000609575982076
23,7.993910123411915,0.9962040569296605,-0.0004953446656945723,0.003796306704924452,-0.01757741054264994,0.004434000841782086,0.01389624084440963,806215.9659719828,3.000609575982075
24,8.341471433125504,0.9961002025341719,-0.0004680481119606068,0.003878040207338283,-0.0171661855161392,0.00469511748678653,0.01344813788636659,825412.512671005,3.000609575982075
25,8.689032742839041,0.9959987566277053,-0.0004392245098250193,0.003957153743428803,-0.01677148231394266,0.004944962026685669,0.01301950974999864,844107.3076855596,3.000609575982075
26,9.03659405255263,0.9958996248199683,-0.0004089388048359417,0.004033758321409924,-0.01639186399607991,0.005184335673506967,0.01260858101939993,862323.5976780026,3.000609575982075
27,9.384155362266165,0.995802720771234,-0.0003772514541326135,0.004107955020077558,-0.01602606951034344,0.005413941508786942,0.0122137991189633,880082.6585385288,3.000609575982075
28,9.731716671979703,0.9957079652240645,-0.0003442189653059814,0.004179836212865318,-0.01567298674087975,0.005634399939938426,0.01183379932322699,897404.0322431981,3.000609575982075
