theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
0,0,0.0,0.0,173200.38868372282,-413.1940030814157,1.0,4.1033842990145786e-13
0,1,0.0,22.5,173201.97725669498,-413.1938087669922,1.0,4.107825191113079e-13
0,2,0.0,45.0,173196.540762386,-413.1938951552689,1.0,4.1167069753100805e-13
0,3,0.0,67.5,173184.87243877698,-413.19425000047994,1.0,4.1033842990145786e-13
0,4,0.0,90.0,173168.80062444275,-413.1948180473024,1.0,4.107825191113079e-13
0,5,0.0,112.5,173150.70832077862,-413.1955144690743,1.0,4.107825191113079e-13
0,6,0.0,135.0,173133.40365479828,-413.1962319018861,1.0,4.1033842990145786e-13
0,7,0.0,157.5,173119.48566218754,-413.1968619687964,1.0,4.107825191113079e-13
0,8,0.0,180.0,173111.08888559774,-413.19730828628235,1.0,4.1033842990145786e-13
0,9,0.0,202.5,173109.497347572,-413.19750270969286,1.0,4.11226608321158e-13
0,10,0.0,225.0,173114.97038463244,-413.19741520468295,1.0,4.1033842990145786e-13
0,11,0.0,247.5,173126.6327872981,-413.19706019037886,1.0,4.1033842990145786e-13
0,12,0.0,270.0,173142.74273083784,-413.1964909384081,1.0,4.1167069753100805e-13
0,13,0.0,292.5,173160.8140743714,-413.1957950078301,1.0,4.098943406916078e-13
0,14,0.0,315.0,173178.10026707823,-413.1950782382599,1.0,4.107825191113079e-13
0,15,0.0,337.5,173191.9873189477,-413.1944492646551,1.0,4.107825191113079e-13
1,0,30.0,0.0,804464.4512647998,-279.429443478721,1.0,4.440892098500626e-16
1,1,30.0,22.5,804465.4771516711,-279.42956600145385,1.0,4.440892098500626e-16
1,2,30.0,45.0,804465.7530338493,-279.4297260283277,1.0,0.0
1,3,30.0,67.5,804465.2372116268,-279.4298991993536,1.0,0.0
1,4,30.0,90.0,804464.0056420704,-279.4300591155201,1.0,0.0
1,5,30.0,112.5,804462.2498504046,-279.4301814812745,1.0,4.440892098500626e-16
1,6,30.0,135.0,804460.2331784806,-279.4302476160558,1.0,4.440892098500626e-16
1,7,30.0,157.5,804458.265995692,-279.43024749587056,1.0,0.0
1,8,30.0,180.0,804456.6443260695,-279.43018109646863,1.0,0.0
1,9,30.0,202.5,804455.6190232688,-279.4300585795286,1.0,4.440892098500626e-16
1,10,30.0,225.0,804455.3464828827,-279.4298986014222,1.0,4.440892098500626e-16
1,11,30.0,247.5,804455.8642062733,-279.42972546466063,1.0,4.440892098500626e-16
1,12,30.0,270.0,804457.0942273288,-279.4295655366263,1.0,4.440892098500626e-16
1,13,30.0,292.5,804458.8506187989,-279.4294431803497,1.0,4.440892098500626e-16
1,14,30.0,315.0,804460.8671573289,-279.4293770382067,1.0,0.0
1,15,30.0,337.5,804462.8331851991,-279.42937713375045,1.0,4.440892098500626e-16
2,0,60.0,0.0,659752.4722576325,-290.5186098824682,1.0,1.3322676295501878e-15
2,1,60.0,22.5,659753.6246224481,-290.5186989861381,1.0,2.6645352591003757e-15
2,2,60.0,45.0,659754.0139552512,-290.51881714741785,1.0,1.3322676295501878e-15
2,3,60.0,67.5,659753.5826412542,-290.51894643486804,1.0,2.220446049250313e-15
2,4,60.0,90.0,659752.396911951,-290.5190671842818,1.0,1.7763568394002505e-15
2,5,60.0,112.5,659750.6374388554,-290.51916101684003,1.0,1.7763568394002505e-15
2,6,60.0,135.0,659748.56906727,-290.5192135411814,1.0,2.220446049250313e-15
2,7,60.0,157.5,659746.5105262252,-290.5192168957934,1.0,1.7763568394002505e-15
2,8,60.0,180.0,659744.7734633412,-290.51917051006194,1.0,1.7763568394002505e-15
2,9,60.0,202.5,659743.6225513637,-290.5190814547727,1.0,2.6645352591003757e-15
