member,vertical_rms_amplitude_nd,rotation_angle_rad,mapping_time_nd,combined_metric,curve_residual_norm,strobe_max_abs_y_km,strobe_max_abs_z_km
1,0.000928774262860048,0.10087,3.0559000694279987,2.1641635724485367e-12,2.1641635724485367e-12,634241.2864263122,139345.728171319
2,0.0009310961985171981,0.09789082882484436,3.0554458109199394,2.7817183969404874e-12,2.7817183969404874e-12,603660.6468473623,141374.6856191658
3,0.000933423939013491,0.0949042097217508,3.055030592977265,4.064272555980092e-12,4.064272555980092e-12,565984.7195350328,142652.75870004395
4,0.0009357574988610247,0.09191012407089957,3.05481151900407,1.4427529755638428e-11,1.4427529755638428e-11,524960.090001837,143440.4453209883
5,0.0009380968926081772,0.08890855320592124,3.05487416118307,4.372793932129289e-11,4.372793932129289e-11,489146.7832316401,144025.41898724655
6,0.0009404421348396976,0.08589947841378041,3.055143202213493,2.136348303351555e-11,2.136348303351555e-11,462370.5783978745,145053.8898458514
7,0.0009427932401767968,0.08288288093465919,3.055520173778513,1.890458807885503e-11,1.890458807885503e-11,442980.80014115555,146080.01223477162
8,0.0009451502232772387,0.07985874196184027,3.055949772348311,3.2747843862131425e-12,3.2747843862131425e-12,428761.66561186034,147137.4673765751
9,0.0009475130988354317,0.0768270426415893,3.0564054840573958,5.455219924052616e-12,5.455219924052616e-12,418246.26861979166,148240.56805204213
10,0.0009498818815825202,0.07378776407303769,3.056874099186071,3.371932974508744e-12,3.371932974508744e-12,410504.0817805973,149399.79507598633
11,0.0009522565862864765,0.0707408873080646,3.057349252926973,8.451418175946084e-12,8.451418175946084e-12,404966.9257566305,150627.6935802816
12,0.0009546372277521926,0.06768639335117917,3.0578286644163293,6.350815729117264e-12,6.350815729117264e-12,401316.61426043866,151941.73264963232
13,0.000957023820821573,0.06462426315940147,3.0583124872279726,8.280377467502594e-11,8.280377467502594e-11,399347.292612116,153365.39460868528
14,0.000959416380373627,0.06155447764214428,3.0588036746240665,2.2514106840898655e-12,2.2514106840898655e-12,399002.68810235825,155691.87192776406
15,0.000961814921324561,0.05847701766109399,3.0593082280969046,2.965670122417213e-12,2.965670122417213e-12,400332.08205206203,158448.1117591864
16,0.0009642194586278723,0.05539186403009111,3.059836146339687,2.6694025093635227e-12,2.6694025093635227e-12,403456.82378462085,161684.28588355653
17,0.0009666300072744419,0.05229899751501077,3.0604113972817872,2.8662850486479526e-12,2.8662850486479526e-12,409620.7209209089,165631.81875198067
18,0.000969046582292628,0.04919839883364268,3.061063459772769,4.707218472691969e-12,4.707218472691969e-12,420250.5432854271,170583.04338930175
