metric_id,value,evidence,interpretation
baseline_version,v1,data/computed/reproduction_baseline_v1_lock.json,frozen baseline version
freeze_date,2026-07-15,data/computed/reproduction_baseline_v1_lock.json,baseline lock date
source_git_commit,95a606ef75888fcef7f4d8cb2eedb120efc13b22,data/computed/reproduction_baseline_v1_lock.json,pre-baseline source snapshot
target_rows,54,data/reproduction_targets.csv,engineering target coverage
v0_targets,13,data/reproduction_targets.csv,schematic tier
v2_targets,41,data/reproduction_targets.csv,numeric/application tier
schematic_targets,13,data/reproduction_targets.csv,schematic targets
numeric_application_targets,41,data/reproduction_targets.csv,numeric plus application targets
numerical_reproduction_rows,16,data/reproduction_targets.csv,rows carrying exact numerical reproduction label
evidence_accepted,7,data/computed/figure_evidence_gap_audit.csv,conservative evidence-gap classification
evidence_boundary,30,data/computed/figure_evidence_gap_audit.csv,conservative evidence-gap classification
evidence_diagnostic,5,data/computed/figure_evidence_gap_audit.csv,conservative evidence-gap classification
evidence_proxy,12,data/computed/figure_evidence_gap_audit.csv,conservative evidence-gap classification
missing_artifact_rows,0,data/computed/figure_evidence_gap_audit.csv,missing script/data/render rows
png_count,54,outputs/figures_png,nonempty engineering PNG outputs
pdf_count,54,outputs/figures_pdf,nonempty engineering PDF outputs
chapter2_accepted,1,data/computed/figure_evidence_gap_audit.csv,Chapter 2 accepted count
chapter2_boundary,8,data/computed/figure_evidence_gap_audit.csv,Chapter 2 boundary count
chapter2_diagnostic,0,data/computed/figure_evidence_gap_audit.csv,Chapter 2 diagnostic count
chapter2_proxy,6,data/computed/figure_evidence_gap_audit.csv,Chapter 2 proxy count
chapter3_accepted,6,data/computed/figure_evidence_gap_audit.csv,Chapter 3 accepted count
chapter3_boundary,3,data/computed/figure_evidence_gap_audit.csv,Chapter 3 boundary count
chapter3_diagnostic,5,data/computed/figure_evidence_gap_audit.csv,Chapter 3 diagnostic count
chapter3_proxy,3,data/computed/figure_evidence_gap_audit.csv,Chapter 3 proxy count
chapter4_accepted,0,data/computed/figure_evidence_gap_audit.csv,Chapter 4 accepted count
chapter4_boundary,8,data/computed/figure_evidence_gap_audit.csv,Chapter 4 boundary count
chapter4_diagnostic,0,data/computed/figure_evidence_gap_audit.csv,Chapter 4 diagnostic count
chapter4_proxy,0,data/computed/figure_evidence_gap_audit.csv,Chapter 4 proxy count
chapter5_accepted,0,data/computed/figure_evidence_gap_audit.csv,Chapter 5 accepted count
chapter5_boundary,11,data/computed/figure_evidence_gap_audit.csv,Chapter 5 boundary count
chapter5_diagnostic,0,data/computed/figure_evidence_gap_audit.csv,Chapter 5 diagnostic count
chapter5_proxy,3,data/computed/figure_evidence_gap_audit.csv,Chapter 5 proxy count
route_h_validation_rows,30,data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv,accepted Route H rows
route_h_max_abs_z_km,14573.10318409037,data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv,largest accepted Route H vertical extent
route_h_paper_precision_targets,4,data/computed/chapter3_route_h_fixed_time_target_coverage_audit.csv,paper-reported Jacobi anchors
route_h_strict_fixed_time_targets,3,data/computed/chapter3_route_h_fixed_time_target_coverage_audit.csv,strict fixed-time anchors
chapter4_fig41_stability_index,1.3837016108445193,data/computed/chapter4_fig41_reported_precision_audit.csv,accepted reported-precision nu row
chapter4_fig42_overlap_rows,13,data/computed/chapter4_fig42_digitized_comparison_audit.csv,common-interval points
chapter4_fig42_coverage_fraction,0.8902665099213599,data/computed/chapter4_fig42_digitized_comparison_audit.csv,digitized reference interval coverage
chapter4_fig42_tail_gap_days,0.04945011318863024,data/computed/chapter4_fig42_digitized_comparison_audit.csv,uncovered fold-tail duration
chapter4_fixed_time_numerical_pass,16,data/computed/chapter4_fig43_fig44_global_manifold_audit.csv;data/computed/chapter4_fig45_fig48_vertical_manifold_audit.csv,state-space and local-STM rows
chapter4_static_camera_pass,16,data/computed/chapter4_fig43_fig46_camera_static_metrics.csv,static camera rows
chapter4_frozen_holdout_pass,0,data/computed/chapter4_fig43_fig46_projection_holdout_audit.csv,frozen paper projection passes
chapter4_frozen_holdout_total,4,data/computed/chapter4_fig43_fig46_projection_holdout_audit.csv,frozen paper projection rows
chapter4_halo_candidate_period_days,12.3979834017152,data/computed/chapter4_fig43_fig44_halo_12p40_posthoc_diagnostic.csv,post-hoc N21 candidate only
chapter4_halo_candidate_samples,21,data/computed/chapter4_fig43_fig44_halo_12p40_posthoc_diagnostic.csv,post-hoc candidate spectral samples
chapter4_halo_candidate_ay_km,41820.6981459709,data/computed/chapter4_fig43_fig44_halo_12p40_posthoc_diagnostic.csv,post-hoc candidate scale
chapter4_halo_candidate_az_km,35772.4896423513,data/computed/chapter4_fig43_fig44_halo_12p40_posthoc_diagnostic.csv,post-hoc candidate scale
route_h_real_hyperbolic_pass,1,data/computed/chapter4_real_hyperbolic_scan.csv,strict nearly-real hyperbolic rows
route_h_real_hyperbolic_total,31,data/computed/chapter4_real_hyperbolic_scan.csv,scanned Route H rows
route_h_real_positive_member,68,data/computed/chapter4_real_hyperbolic_scan.csv,positive control candidate
chapter5_active_member,468,data/computed/chapter5_sun_earth_l1_active_geometry_family_audit.csv,accepted active-geometry checkpoint
chapter5_active_max_y_km,659439.4314289853,data/computed/chapter5_sun_earth_l1_active_geometry_family_audit.csv,full-torus extent
chapter5_active_max_z_km,939944.3046133927,data/computed/chapter5_sun_earth_l1_active_geometry_family_audit.csv,full-torus extent
chapter5_stable_periapsis_km,7034.029835374918,data/computed/chapter5_active_geometry_stable_manifold_tight_target_audit.csv,accepted stable-manifold application
chapter5_leo_periapsis_km,7034.028970727035,data/computed/chapter5_active_geometry_leo_transfer_audit.csv,accepted LEO transfer application
chapter5_bcr4bp_numerical_pass,2,data/computed/chapter5_fig510_bcr4bp_transfer_audit.csv,numerical extension rows
chapter5_bcr4bp_paper_equivalence_pass,0,data/computed/chapter5_fig510_bcr4bp_transfer_audit.csv,paper-equivalent rows
staged_goal_status,chapter3_passed_chapter4_ready,data/computed/mccarthy2018_staged_goal_gate_status.csv,current reproduction staged gate
