axis,tick_value,pixel_coordinate,fitted_value,residual_data_units,fit_slope_data_per_pixel,fit_intercept
mapping_time_days,12,197,12,-3.552713678800501e-15,0.0004255319148936214,11.91617021276595
mapping_time_days,12.1,432,12.1,-1.77635683940025e-15,0.0004255319148936214,11.91617021276595
mapping_time_days,12.2,667,12.2,0,0.0004255319148936214,11.91617021276595
mapping_time_days,12.3,902,12.3,0,0.0004255319148936214,11.91617021276595
mapping_time_days,12.4,1137,12.4,0,0.0004255319148936214,11.91617021276595
mapping_time_days,12.5,1372,12.5,1.77635683940025e-15,0.0004255319148936214,11.91617021276595
stability_index,600,563,599.9999999999998,-2.273736754432321e-13,-0.3906250000000004,819.921875
stability_index,650,435,649.9999999999998,-2.273736754432321e-13,-0.3906250000000004,819.921875
stability_index,700,307,699.9999999999999,-1.13686837721616e-13,-0.3906250000000004,819.921875
stability_index,750,179,749.9999999999999,-1.13686837721616e-13,-0.3906250000000004,819.921875
stability_index,800,51,800,0,-0.3906250000000004,819.921875
