figure_id,generated_size,reference_size,dhash_hamming,resized_mad,resized_corr,generated_edge_density,reference_edge_density,generated_dark_fraction,reference_dark_fraction
2.1,1166x1227,511x538,9,0.0530,0.2605,0.0867,0.0854,0.0573,0.0584
2.2,1675x495,744x192,12,0.0662,0.0078,0.0555,0.0616,0.0488,0.0562
2.3,1801x1511,662x498,42,0.0358,-0.0163,0.0810,0.0599,0.0443,0.0333
2.4,3009x1307,845x377,15,0.1031,0.4534,0.1353,0.1302,0.3327,0.3204
2.5,1283x1035,628x486,13,0.1083,0.6102,0.1374,0.0923,0.3888,0.3629
2.6,3564x1181,835x747,35,0.0902,0.0265,0.1364,0.1020,0.2287,0.1264
2.7,1074x1171,378x378,27,0.0584,0.0138,0.1472,0.0740,0.0801,0.0345
2.8,3353x1280,834x348,23,0.1059,0.1810,0.2642,0.2782,0.1822,0.2799
2.9,1134x519,641x258,10,0.0400,0.0851,0.0703,0.0664,0.0490,0.0423
2.10,2044x437,867x159,22,0.0467,0.0989,0.0724,0.0870,0.0493,0.0624
2.11,1666x1350,426x352,21,0.0387,0.0513,0.0964,0.1044,0.0511,0.0474
2.12,1911x860,533x258,25,0.0660,0.0130,0.0882,0.1041,0.0542,0.0718
2.13,1170x1150,383x380,30,0.0823,0.1528,0.1677,0.1115,0.1074,0.1102
2.14,1867x1245,627x442,18,0.1117,0.3809,0.2695,0.2634,0.2433,0.2403
2.15,1784x1293,746x602,4,0.0248,0.2433,0.0713,0.0818,0.0397,0.0393
3.1,800x641,637x455,26,0.1921,0.0827,0.0681,0.0844,0.3431,0.5670
3.2,1114x684,643x396,28,0.1384,0.1919,0.0900,0.0876,0.2623,0.3583
3.3,2211x677,697x229,14,0.0663,0.1959,0.1272,0.1412,0.9492,0.8765
3.4,1132x921,631x416,32,0.1484,0.1462,0.1072,0.1355,0.2086,0.4149
3.5,2033x2215,815x903,16,0.1017,0.3247,0.2055,0.1330,0.1700,0.1687
3.6,2421x926,791x299,15,0.0384,0.1095,0.1351,0.1093,0.0681,0.0390
3.7,2029x2241,797x917,14,0.0758,0.3477,0.2041,0.1270,0.1848,0.1502
3.8,2425x926,812x319,14,0.0364,0.1344,0.1272,0.1068,0.0667,0.0397
3.9,2387x967,815x323,15,0.0496,0.1758,0.1548,0.1137,0.0873,0.0560
3.10,2134x2019,779x682,31,0.0534,0.0161,0.2019,0.0920,0.1016,0.0410
3.11,2299x1340,845x506,22,0.0700,0.1139,0.1878,0.1612,0.1175,0.1208
3.12,2157x2210,828x856,17,0.0813,0.3543,0.2338,0.1190,0.1687,0.1328
3.13,2425x926,824x370,15,0.0404,0.1523,0.1446,0.1151,0.0737,0.0477
3.14,1908x2540,733x974,25,0.0849,0.0499,0.2953,0.1230,0.1710,0.0714
3.15,2243x915,801x318,23,0.0444,0.1053,0.1429,0.1092,0.0753,0.0494
3.16,2360x2165,835x690,10,0.1046,0.3387,0.1987,0.1171,0.2285,0.1253
3.17,2387x924,819x376,15,0.0440,0.1269,0.1586,0.1061,0.0908,0.0406
4.1,2186x1087,766x332,4,0.0716,0.2559,0.1926,0.1255,0.1145,0.0782
4.2,2086x955,781x382,18,0.0416,0.1179,0.1306,0.0956,0.0611,0.0488
4.3,2278x2168,824x721,12,0.1037,0.3157,0.2593,0.1172,0.1710,0.1118
4.4,2340x2102,867x646,16,0.0898,0.1930,0.2246,0.1086,0.1559,0.0744
4.5,2266x2140,836x679,17,0.0941,0.5278,0.2559,0.1025,0.1846,0.1147
4.6,2340x2102,868x573,22,0.0820,0.3333,0.2245,0.0975,0.1640,0.0670
4.7,1376x620,841x473,38,0.1661,0.1901,0.2494,0.1120,0.3338,0.1299
4.8,1385x596,768x348,30,0.1947,0.1695,0.2301,0.1464,0.4142,0.2016
5.1,2146x2015,658x606,13,0.0786,0.3049,0.2187,0.0938,0.1711,0.0953
5.2,2571x717,880x252,22,0.1483,0.4039,0.1042,0.1099,0.2187,0.3155
5.3,2545x586,880x210,9,0.0698,0.7893,0.0811,0.0870,0.2530,0.2322
5.4,1682x1480,559x399,28,0.0696,0.0595,0.1138,0.0976,0.1035,0.0651
5.5,1495x1095,558x368,19,0.1477,0.5067,0.2370,0.1398,0.4286,0.1970
5.6,2266x2074,791x626,12,0.0590,0.1215,0.2289,0.1430,0.1270,0.0670
5.7,2266x2074,791x627,12,0.0591,0.1262,0.2320,0.1402,0.1285,0.0653
5.8,2484x1066,809x346,19,0.0981,0.2490,0.2948,0.1469,0.1854,0.1554
5.9,1064x1381,413x443,34,0.1301,0.0864,0.2614,0.1401,0.2065,0.1690
5.10,2094x1204,789x433,16,0.0812,0.0775,0.2753,0.1678,0.1552,0.0952
5.11,2094x1204,857x434,23,0.0780,0.0763,0.2820,0.1530,0.1556,0.0798
5.12,1883x946,494x283,17,0.0346,0.1033,0.1079,0.0975,0.0503,0.0422
5.13,1969x1429,596x474,20,0.1355,0.3769,0.1143,0.1204,0.6278,0.5347
5.14,1046x2326,536x903,31,0.0789,0.0658,0.1961,0.1337,0.1007,0.1064
