target_id,chapter,paper_figure_number,paper_page,pdf_page,paper_caption,paper_caption_status,paper_asset,reproduction_asset,comparison_asset,research_object,research_object_en,model,coordinate_system,main_parameters,numerical_method,script,data_source,current_source_layer,status,evidence,quantitative_validation,consistency,consistency_cn,difference,difference_cn,difference_reason,difference_reason_cn,limitation,limitation_cn,next_action,reproduction_grade,grade_boundary,uses_proxy,notes
2.1,2,Fig. 2.1,8,24,Figure 2.1. Geometry in the three body systems; deﬁnition of inertial and rotating reference frames.,pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_1_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_1_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_1_comparison.png,三体系统几何与参考坐标系,Geometry in the three-body system and reference frames,几何/算法示意（数值动力学模型不作为该图验收对象）,惯性坐标系与旋转坐标系的概念定义,Geometry in the three-body system and reference frames,几何关系示意与确定性绘图,figures/fig_2_01.py,reference schematic geometry,frame definitions and primary geometry,proxy,reference schematic geometry,原论文未报告或当前权威表未登记独立误差值,schematic complete,当前结果重构了坐标、几何或算法语义，不承担定量数值等价证明。,该图只承担概念/几何/算法示意角色，不提供论文原始数值节点的等价证据。,线型、布局与标注为本项目独立绘制，不以像素相似作为验收目标。,目标本身为示意层，当前项目使用独立绘制的语义对应图。,示意图目标是语义和几何关系，而非原图数据重建。,示意或代理层；不得写成定量数值复现,只可用于概念说明，不得报告数值误差或严格等价。,No numerical upgrade needed unless thesis artwork must be redrawn,D,示意或代理层；不得写成定量数值复现,true,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.2,2,Fig. 2.2,14,30,"Figure 2.2. Geometry to solve for locations of collinear libration points in CR3BP using γ1, γ2, and γ3",pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_2_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_2_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_2_comparison.png,共线平动点求解几何,Collinear libration point geometry,几何/算法示意（数值动力学模型不作为该图验收对象）,主星-次星质心旋转（synodic）无量纲坐标；图中物理量按脚本输出为无量纲量、km 或 day,Collinear libration point geometry,几何关系示意与确定性绘图,figures/fig_2_02.py,reference schematic geometry,collinear point layout,proxy,reference schematic geometry,原论文未报告或当前权威表未登记独立误差值,schematic complete,当前结果重构了坐标、几何或算法语义，不承担定量数值等价证明。,该图只承担概念/几何/算法示意角色，不提供论文原始数值节点的等价证据。,线型、布局与标注为本项目独立绘制，不以像素相似作为验收目标。,目标本身为示意层，当前项目使用独立绘制的语义对应图。,示意图目标是语义和几何关系，而非原图数据重建。,示意或代理层；不得写成定量数值复现,只可用于概念说明，不得报告数值误差或严格等价。,No numerical upgrade needed beyond visual cleanup,D,示意或代理层；不得写成定量数值复现,true,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.3,2,Fig. 2.3,14,30,Figure 2.3. Relative locations of the ﬁve libration points as viewed in the rotating frame,pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_3_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_3_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_3_comparison.png,五个平动点的相对位置,Relative locations of the five libration points,Earth-Moon CR3BP,主星-次星质心旋转（synodic）无量纲坐标；图中物理量按脚本输出为无量纲量、km 或 day,"general CR3BP libration-point geometry; L1/L2/L3 on x-axis; L4/L5=(1/2-mu,+/-sqrt(3)/2)",CR3BP 平动点方程求根与位置计算,figures/fig_2_03.py,data/computed/libration_points.csv,CR3BP L1-L5 locations,boundary,data/computed/libration_points.csv,残差: root solve in libration point table,close to reference,当前结果包含真实数值解，动力学对象、拓扑或主要变化趋势与原图目标相对应。,close to reference,原始节点、完整分支、相位、投影参数或任务约束未完全公开，尚不能证明逐点等价。,现有源层只支持当前等级；严格等价受完整状态、分支覆盖、相位、视角或高保真条件限制。,差异与未公开源数据、分支覆盖、相位/视角或模型保真度边界相符，但不作唯一归因。,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated CR3BP baseline,结论限于当前真实数值源层和已报告趋势，不扩展为严格论文等价。,Keep as validated CR3BP baseline,B,真实数值解与主要物理趋势受支持；严格论文等价仍有边界,false,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.4,2,Fig. 2.4,16,32,Figure 2.4. Zero-Velocity Curves in the Earth-Moon system for (a) JC = 3.16 and (b) JC = 3.18.,pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_4_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_4_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_4_comparison.png,地月系统零速度曲线,Earth-Moon zero-velocity curves for JC=3.16 and JC=3.18,Earth-Moon CR3BP,主星-次星质心旋转（synodic）无量纲坐标；图中物理量按脚本输出为无量纲量、km 或 day,Earth-Moon zero-velocity curves at JC=3.16 and JC=3.18,Jacobi 常数与零速度曲线/面网格计算,figures/fig_2_04.py,CR3BP zero velocity grid,Jacobi zero velocity contours,boundary,CR3BP zero velocity grid,原论文未报告或当前权威表未登记独立误差值,physically consistent,当前结果包含真实数值解，动力学对象、拓扑或主要变化趋势与原图目标相对应。,physically consistent,原始节点、完整分支、相位、投影参数或任务约束未完全公开，尚不能证明逐点等价。,现有源层只支持当前等级；严格等价受完整状态、分支覆盖、相位、视角或高保真条件限制。,差异与未公开源数据、分支覆盖、相位/视角或模型保真度边界相符，但不作唯一归因。,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated CR3BP baseline,结论限于当前真实数值源层和已报告趋势，不扩展为严格论文等价。,Keep as validated CR3BP baseline,B,真实数值解与主要物理趋势受支持；严格论文等价仍有边界,false,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.5,2,Fig. 2.5,17,33,"Figure 2.5. Zero-Velocity Surface (ZVS) in the Earth-Moon system, JC = 3.16.",pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_5_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_5_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_5_comparison.png,地月系统零速度面,Earth-Moon rotating frame,Earth-Moon CR3BP,主星-次星质心旋转（synodic）无量纲坐标；图中物理量按脚本输出为无量纲量、km 或 day,Earth-Moon rotating frame,几何关系示意与确定性绘图,figures/fig_2_05.py,local rotating-frame schematic,rotating-frame axes and primaries,proxy,local rotating-frame schematic,原论文未报告或当前权威表未登记独立误差值,schematic only,当前结果重构了坐标、几何或算法语义，不承担定量数值等价证明。,该图只承担概念/几何/算法示意角色，不提供论文原始数值节点的等价证据。,线型、布局与标注为本项目独立绘制，不以像素相似作为验收目标。,目标本身为示意层，当前项目使用独立绘制的语义对应图。,示意图目标是语义和几何关系，而非原图数据重建。,示意或代理层；不得写成定量数值复现,只可用于概念说明，不得报告数值误差或严格等价。,No numerical upgrade needed unless exact thesis artwork is required,D,示意或代理层；不得写成定量数值复现,true,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.6,2,Fig. 2.6,18,34,Figure 2.6. ZVCs for JC = JCL2+JCL1,pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_6_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_6_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_6_comparison.png,地月、土卫六与日地系统零速度曲线对照,"ZVC comparison for Earth-Moon, Saturn-Titan, and Sun-Earth",Sun-Earth CR3BP,主星-次星质心旋转（synodic）无量纲坐标；图中物理量按脚本输出为无量纲量、km 或 day,ZVC comparison: Earth-Moon mu=0.01215; Saturn-Titan mu=0.0002366; Sun-Earth mu=3.0035e-6,Jacobi 常数与零速度曲线/面网格计算,figures/fig_2_06.py,CR3BP zero velocity grids across systems,Jacobi zero velocity contours,boundary,CR3BP zero velocity grids across systems,原论文未报告或当前权威表未登记独立误差值,close to reference,当前结果包含真实数值解，动力学对象、拓扑或主要变化趋势与原图目标相对应。,close to reference,原始节点、完整分支、相位、投影参数或任务约束未完全公开，尚不能证明逐点等价。,现有源层只支持当前等级；严格等价受完整状态、分支覆盖、相位、视角或高保真条件限制。,差异与未公开源数据、分支覆盖、相位/视角或模型保真度边界相符，但不作唯一归因。,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated CR3BP baseline,结论限于当前真实数值源层和已报告趋势，不扩展为严格论文等价。,Keep as validated CR3BP baseline,B,真实数值解与主要物理趋势受支持；严格论文等价仍有边界,false,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.7,2,Fig. 2.7,24,40,Figure 2.7. Decoupled out-of-plane (blue) and in-plane (red) varia- tions from the L1 point in the Earth-Moon system,pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_7_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_7_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_7_comparison.png,地月 L1 点附近面内与面外线性模态,Linearized in-plane and out-of-plane variations at Earth-Moon L1,Earth-Moon CR3BP,主星-次星质心旋转（synodic）无量纲坐标；图中物理量按脚本输出为无量纲量、km 或 day,Earth-Moon L1 decoupled in-plane and out-of-plane first-order modes; equations 2.61-2.66,L1 线性化中心模态与线性 Lissajous 构造,figures/fig_2_07.py,linearized L1 center modes,planar and vertical linear modes,boundary,linearized L1 center modes,原论文未报告或当前权威表未登记独立误差值,physically consistent,当前结果包含真实数值解，动力学对象、拓扑或主要变化趋势与原图目标相对应。,physically consistent,原始节点、完整分支、相位、投影参数或任务约束未完全公开，尚不能证明逐点等价。,现有源层只支持当前等级；严格等价受完整状态、分支覆盖、相位、视角或高保真条件限制。,差异与未公开源数据、分支覆盖、相位/视角或模型保真度边界相符，但不作唯一归因。,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated linear CR3BP baseline,结论限于当前真实数值源层和已报告趋势，不扩展为严格论文等价。,Keep as validated linear CR3BP baseline,B,真实数值解与主要物理趋势受支持；严格论文等价仍有边界,false,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.8,2,Fig. 2.8,24,40,"Figure 2.8. (a) 3D View, (b) ˆxˆy plane projection and (c) ˆyˆz plane projection of linearized Lissajous motion around the Earth-Moon L1 equilibrium point",pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_8_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_8_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_8_comparison.png,地月 L1 点附近线性 Lissajous 运动,Linearized Lissajous motion around Earth-Moon L1,Earth-Moon CR3BP,主星-次星质心旋转（synodic）无量纲坐标；图中物理量按脚本输出为无量纲量、km 或 day,Earth-Moon L1 linear Lissajous motion coupling in-plane and out-of-plane modes; equations 2.67-2.72,L1 线性化中心模态与线性 Lissajous 构造,figures/fig_2_08.py,linearized L1 Lissajous propagation,linear mode amplitudes,boundary,linearized L1 Lissajous propagation,原论文未报告或当前权威表未登记独立误差值,physically consistent,当前结果包含真实数值解，动力学对象、拓扑或主要变化趋势与原图目标相对应。,physically consistent,原始节点、完整分支、相位、投影参数或任务约束未完全公开，尚不能证明逐点等价。,现有源层只支持当前等级；严格等价受完整状态、分支覆盖、相位、视角或高保真条件限制。,差异与未公开源数据、分支覆盖、相位/视角或模型保真度边界相符，但不作唯一归因。,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated linear CR3BP baseline,结论限于当前真实数值源层和已报告趋势，不扩展为严格论文等价。,Keep as validated linear CR3BP baseline,B,真实数值解与主要物理趋势受支持；严格论文等价仍有边界,false,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.9,2,Fig. 2.9,29,45,Figure 2.9. Single shooting diﬀerential corrections targeting scheme,pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_9_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_9_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_9_comparison.png,单步打靶差分修正示意,Single-shooting differential corrections targeting,几何/算法示意（数值动力学模型不作为该图验收对象）,算法/拓扑示意坐标，不用于状态空间逐点比较,Single-shooting differential corrections targeting,单步打靶差分修正方法示意,figures/fig_2_09.py,algorithm schematic,single-shooting correction geometry,proxy,algorithm schematic,原论文未报告或当前权威表未登记独立误差值,schematic only,当前结果重构了坐标、几何或算法语义，不承担定量数值等价证明。,该图只承担概念/几何/算法示意角色，不提供论文原始数值节点的等价证据。,线型、布局与标注为本项目独立绘制，不以像素相似作为验收目标。,目标本身为示意层，当前项目使用独立绘制的语义对应图。,示意图目标是语义和几何关系，而非原图数据重建。,示意或代理层；不得写成定量数值复现,只可用于概念说明，不得报告数值误差或严格等价。,No numerical upgrade needed,D,示意或代理层；不得写成定量数值复现,true,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
2.10,2,Fig. 2.10,31,47,Figure 2.10. Trajectory arcs in multiple shooting scheme,pdf_caption_block,reports/mccarthy2018_figure_comparison/assets/original/fig_2_10_original.png,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_2_10_reproduced.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_10_comparison.png,多步打靶轨迹弧段示意,Multiple-shooting trajectory arcs,几何/算法示意（数值动力学模型不作为该图验收对象）,算法/拓扑示意坐标，不用于状态空间逐点比较,Multiple-shooting trajectory arcs,多步打靶弧段与连续性约束示意,figures/fig_2_10.py,algorithm schematic,multiple-shooting arc geometry,proxy,algorithm schematic,原论文未报告或当前权威表未登记独立误差值,schematic only,当前结果重构了坐标、几何或算法语义，不承担定量数值等价证明。,该图只承担概念/几何/算法示意角色，不提供论文原始数值节点的等价证据。,线型、布局与标注为本项目独立绘制，不以像素相似作为验收目标。,目标本身为示意层，当前项目使用独立绘制的语义对应图。,示意图目标是语义和几何关系，而非原图数据重建。,示意或代理层；不得写成定量数值复现,只可用于概念说明，不得报告数值误差或严格等价。,No numerical upgrade needed,D,示意或代理层；不得写成定量数值复现,true,阶段 C 证据绑定；所有结论来自当前权威表、逐图审计和实际图形资产。
