target_id,grade,status,script_exists,paper_asset_exists,reproduction_asset_exists,resolved_evidence_paths,missing_evidence_paths,pending_fields,boundary_present
2.1,D,proxy,True,True,True,0,,comparison_asset,True
2.2,D,proxy,True,True,True,0,,comparison_asset,True
2.3,B,boundary,True,True,True,1,,comparison_asset,True
2.4,B,boundary,True,True,True,0,,comparison_asset,True
2.5,D,proxy,True,True,True,0,,comparison_asset,True
2.6,B,boundary,True,True,True,0,,comparison_asset,True
2.7,B,boundary,True,True,True,0,,comparison_asset,True
2.8,B,boundary,True,True,True,0,,comparison_asset,True
2.9,D,proxy,True,True,True,0,,comparison_asset,True
2.10,D,proxy,True,True,True,0,,comparison_asset,True
2.11,B,boundary,True,True,True,1,,comparison_asset,True
2.12,D,proxy,True,True,True,0,,comparison_asset,True
2.13,B,boundary,True,True,True,2,,comparison_asset,True
2.14,B,boundary,True,True,True,1,,comparison_asset,True
2.15,A,accepted,True,True,True,1,,comparison_asset,True
3.1,D,proxy,True,True,True,0,,comparison_asset,True
3.2,D,proxy,True,True,True,0,,comparison_asset,True
3.3,C,diagnostic,True,True,True,1,,comparison_asset,True
3.4,D,proxy,True,True,True,0,,comparison_asset,True
3.5,A,accepted,True,True,True,1,,comparison_asset,True
3.6,A,accepted,True,True,True,1,,comparison_asset,True
3.7,B,boundary,True,True,True,1,,comparison_asset,True
3.8,B,boundary,True,True,True,1,,comparison_asset,True
3.9,C,diagnostic,True,True,True,6,,comparison_asset,True
3.10,C,diagnostic,True,True,True,3,,comparison_asset,True
3.11,C,diagnostic,True,True,True,1,,comparison_asset,True
3.12,A,accepted,True,True,True,1,,comparison_asset,True
3.13,A,accepted,True,True,True,1,,comparison_asset,True
3.14,A,accepted,True,True,True,1,,comparison_asset,True
3.15,A,accepted,True,True,True,1,,comparison_asset,True
3.16,B,boundary,True,True,True,4,,comparison_asset,True
3.17,C,diagnostic,True,True,True,4,,comparison_asset,True
4.1,B,boundary,True,True,True,2,,comparison_asset,True
4.2,B,boundary,True,True,True,3,,comparison_asset,True
4.3,B,boundary,True,True,True,8,,comparison_asset,True
4.4,B,boundary,True,True,True,8,,comparison_asset,True
4.5,B,boundary,True,True,True,6,,comparison_asset,True
4.6,B,boundary,True,True,True,6,,comparison_asset,True
4.7,B,boundary,True,True,True,1,,comparison_asset,True
4.8,B,boundary,True,True,True,1,,comparison_asset,True
5.1,B,boundary,True,True,True,1,,comparison_asset,True
5.2,D,proxy,True,True,True,0,,comparison_asset,True
5.3,D,proxy,True,True,True,0,,comparison_asset,True
5.4,D,proxy,True,True,True,0,,comparison_asset,True
5.5,B,boundary,True,True,True,1,,comparison_asset,True
5.6,B,boundary,True,True,True,1,,comparison_asset,True
5.7,B,boundary,True,True,True,1,,comparison_asset,True
5.8,B,boundary,True,True,True,1,,comparison_asset,True
5.9,B,boundary,True,True,True,1,,comparison_asset,True
5.10,B,boundary,True,True,True,3,,comparison_asset,True
5.11,B,boundary,True,True,True,1,,comparison_asset,True
5.12,B,boundary,True,True,True,1,,comparison_asset,True
5.13,B,boundary,True,True,True,1,,comparison_asset,True
5.14,B,boundary,True,True,True,1,,comparison_asset,True
