figure_id,format,artifact,sha256,source_run_id,source_method_csv_sha256,source_manifold_csv_sha256,description
F1,png,research/invariant_bundles/figures/fig_bundle_method_summary.png,DC834AFAE3B45105BC07F46B4916BED0402AC87B420AFFF17A83FFE1D0AD21B6,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,"Bundle residual, status, runtime, and phase-continuity summary."
F1,pdf,research/invariant_bundles/figures/fig_bundle_method_summary.pdf,9F4FD3A0FD63D7BAB2CCB340A2388DEAAC0BC506887D7864506F8C0845579A7F,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,"Bundle residual, status, runtime, and phase-continuity summary."
F2,png,research/invariant_bundles/figures/fig_resolution_convergence.png,CC78B62EB870068561C9BC13D52CEF3B33A9ECDFE884296DE4D2E17D320C5FFF,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Bundle and manifold convergence with spectral resolution.
F2,pdf,research/invariant_bundles/figures/fig_resolution_convergence.pdf,9799382F7D5D05CC55AAF9C32A9871C730C2AAEEA22A8980A692FA7E50DC62B0,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Bundle and manifold convergence with spectral resolution.
F3,png,research/invariant_bundles/figures/fig_route_h_rho_control.png,8D912A3536FC40916F2D9D8C5271BBBBC171C27AA5803E22D51C959E11588C48,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Route-H member-68 corrected-rho versus frozen legacy-DG control.
F3,pdf,research/invariant_bundles/figures/fig_route_h_rho_control.pdf,52723107BEB3D06033BB2C817DCFB9BB8B499B6D95EF7CF07A988EA29D13C2F0,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Route-H member-68 corrected-rho versus frozen legacy-DG control.
F4,png,research/invariant_bundles/figures/fig_manifold_method_metrics.png,650468A43BEECC67343471DE030239EB2EB3B4A3C61584222F0885C714D4D6D2,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,"Direction, displacement, perturbation, and residual manifold metrics."
F4,pdf,research/invariant_bundles/figures/fig_manifold_method_metrics.pdf,BB60928B6D3900B651C0C8E76D36135220199632A04FA4F4934BA5989F6EDB74,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,"Direction, displacement, perturbation, and residual manifold metrics."
F5,png,research/invariant_bundles/figures/fig_phase_continuity_profiles.png,ABA9E8EB0FB0FDB5812F11BFC8B0E37D99C5E6CFC5DC8C8ABC27954EAEBB1972,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Phase-resolved residual and adjacent-angle profiles.
F5,pdf,research/invariant_bundles/figures/fig_phase_continuity_profiles.pdf,A2710F67C925C8579144AC36ABED89F1C864C0A7BF8C0195B880066B3D47B5C7,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Phase-resolved residual and adjacent-angle profiles.
F6,png,research/invariant_bundles/figures/fig_halo_manifold_displacement_sheets.png,81F73344D118B6264118E42DEA994CD126D6276963F5316E1D45464E9A27A0A3,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Normalized Halo N45 displacement sheets for the three methods.
F6,pdf,research/invariant_bundles/figures/fig_halo_manifold_displacement_sheets.pdf,63ABC81533B200F58548CE2E40FA3C973BA576E02F0248B4D8997CCC810527A8,622C929BECB834767763,0B66A89B13926BAF90114741796EA1128AC39A6C62BB092B4A1018B97CDEB88B,248A1F8CB8F958640D526CFFC2859AC3AEDF697BEE5BDAF78EBED95AD898FB8E,Normalized Halo N45 displacement sheets for the three methods.
