reference_id,authors,title,year,venue,doi,official_url,method,problem,relation_to_this_work,claim_supported,verified
McCarthy2018,Brian P. McCarthy,Characterization of Quasi-Periodic Orbits for Applications in the Sun-Earth and Earth-Moon Systems,2018,Purdue University M.S. thesis,,https://docs.lib.purdue.edu/dissertations/AAI30502018/,stroboscopic mapping; torus-family continuation; stability and manifold characterization,characterization of CR3BP quasi-periodic orbit families in the Sun-Earth and Earth-Moon systems,target thesis and source of the frozen 54-figure reproduction scope,"the target work computes and characterizes quasi-periodic CR3BP orbit families, stability, and associated manifolds",yes
OlikaraHowell2010,Zubin P. Olikara; Kathleen C. Howell,Computation of Quasi-Periodic Invariant Tori in the Restricted Three-Body Problem,2010,"20th AAS/AIAA Space Flight Mechanics Meeting, AAS 10-120",,https://engineering.purdue.edu/people/kathleen.howell.1/Publications/Conferences/2010_AAS_OliHow.pdf,Fourier collocation; multiple shooting; numerical continuation,computation and continuation of quasi-periodic invariant tori in the CR3BP,establishes the Purdue numerical lineage for the source torus families used by McCarthy,CR3BP quasi-periodic invariant tori can be represented and continued through established numerical schemes,yes
Olikara2010Thesis,Zubin P. Olikara,Computation of Quasi-Periodic Tori in the Circular Restricted Three-Body Problem,2010,Purdue University M.S. thesis,,https://engineering.purdue.edu/people/kathleen.howell.1/Publications/Masters/2010_Olikara.pdf,Fourier and multiple-shooting torus computation; continuation,numerical construction of quasi-periodic tori in the CR3BP,provides a detailed formal source for the torus computation inherited by later Purdue work,the source orbit families are rooted in an established CR3BP torus-computation workflow,yes
JorbaMasdemont1999,Àngel Jorba; Josep Masdemont,Dynamics in the Center Manifold of the Collinear Points of the Restricted Three Body Problem,1999,Physica D: Nonlinear Phenomena,10.1016/S0167-2789(99)00042-1,https://www.sciencedirect.com/science/article/pii/S0167278999000421,Lindstedt-Poincare and Fourier representations in the center manifold,local dynamics and invariant tori near CR3BP collinear points,supplies theoretical and computational context for quasi-periodic motion around collinear equilibria,quasi-periodic tori near collinear points have an established center-manifold and Fourier description,yes
Jorba2001,Àngel Jorba,Numerical Computation of the Normal Behaviour of Invariant Curves of n-Dimensional Maps,2001,Nonlinearity,10.1088/0951-7715/14/5/303,https://doi.org/10.1088/0951-7715/14/5/303,normal eigenvalue and eigendirection computation along invariant curves,normal dynamics of invariant curves in maps,direct prior art for computing phase-dependent normal directions and diagnosing their continuity,normal directions along invariant curves are a global phase-dependent numerical object rather than unrelated pointwise eigenvectors,yes
HaroLlave2006Numerical,Àlex Haro; Rafael de la Llave,A Parameterization Method for the Computation of Invariant Tori and Their Whiskers in Quasi-Periodic Maps: Numerical Algorithms,2006,Discrete and Continuous Dynamical Systems - B,10.3934/dcdsb.2006.6.1261,https://www.aimsciences.org/article/doi/10.3934/dcdsb.2006.6.1261,parameterization method; reducibility; Newton iteration for tori and whiskers,numerical computation of invariant tori and stable/unstable whiskers in quasi-periodic maps,establishes that torus and whisker algorithms predate the present comparison framework,"parameterization-based computation of invariant tori, bundles, and whiskers is established prior art",yes
HaroLlave2006Rigorous,Àlex Haro; Rafael de la Llave,A Parameterization Method for the Computation of Invariant Tori and Their Whiskers in Quasi-Periodic Maps: Rigorous Results,2006,Journal of Differential Equations,10.1016/j.jde.2005.10.005,https://www.sciencedirect.com/science/article/pii/S0022039605003487,a-posteriori invariant-torus and whisker theory,existence and regularity foundations for parameterized invariant tori and whiskers,sets the theoretical boundary: numerical residuals in this project are not a substitute for a proof,rigorous parameterization results require hypotheses and estimates beyond the empirical tests reported here,yes
HaroLlave2007,Àlex Haro; Rafael de la Llave,A Parameterization Method for the Computation of Invariant Tori and Their Whiskers in Quasi-Periodic Maps: Explorations and Mechanisms for the Breakdown of Hyperbolicity,2007,SIAM Journal on Applied Dynamical Systems,10.1137/050637327,https://epubs.siam.org/doi/10.1137/050637327,parameterization method; numerical exploration of hyperbolicity breakdown,diagnosis of loss of hyperbolicity for invariant tori and whiskers,supports treating spectral and bundle failure modes as scientific results rather than suppressing them,breakdown and conditioning of hyperbolic structure are legitimate numerical objects requiring explicit diagnostics,yes
HaroEtAl2016,Àlex Haro; Marta Canadell; Jordi-Lluis Figueras; Alejandro Luque; Josep Maria Mondelo,The Parameterization Method for Invariant Manifolds: From Rigorous Results to Effective Computations,2016,"Springer Applied Mathematical Sciences, volume 195",10.1007/978-3-319-29662-3,https://link.springer.com/book/10.1007/978-3-319-29662-3,parameterization method; validated and effective computation,"unified treatment of invariant manifolds, invariant tori, and normally hyperbolic structures",monograph-level prior art constraining any novelty claim about invariant-manifold parameterization,parameterization algorithms and their implementation are mature established methods,yes
WyshamMeiss2006,Derin B. Wysham; James D. Meiss,Iterative Techniques for Computing the Linearized Manifolds of Quasiperiodic Tori,2006,Chaos: An Interdisciplinary Journal of Nonlinear Science,10.1063/1.2200159,https://doi.org/10.1063/1.2200159,iterative cocycle techniques for stable and unstable linearized manifolds,computation of linearized manifolds attached to quasiperiodic tori,direct prior art for shifted cocycle iteration and bundle-to-manifold seeding,iterative computation of torus-attached linearized manifolds is established and must be compared rather than claimed as new,yes
