case_id,method,rows,accepted,failed,max_jacobi_drift,max_direction_angle_to_qr_deg,max_cross_resolution_distance
em_halo_12p40_n21,Pointwise eig,6,0,6,1.332267629550188e-15,7.151340755182589,0.02192657181329247
em_halo_12p40_n21,Partial real-Schur,6,0,6,1.332267629550188e-15,0.0004889216617299103,0.02191678387236872
em_halo_12p40_n21,Shifted QR/SVD,6,0,6,1.77635683940025e-15,1.207418269725733e-06,0.02191678376927397
em_halo_12p40_n33,Pointwise eig,6,0,6,1.332267629550188e-15,7.150438164961562,0.0150282467953206
em_halo_12p40_n33,Partial real-Schur,6,0,6,1.332267629550188e-15,1.909095910416422e-06,0.01502816933505424
em_halo_12p40_n33,Shifted QR/SVD,6,0,6,1.77635683940025e-15,1.909095910416422e-06,0.01502816933503049
em_halo_12p40_n45,Pointwise eig,6,0,6,1.77635683940025e-15,7.15044353718647,0.0
em_halo_12p40_n45,Partial real-Schur,6,6,0,1.77635683940025e-15,1.207418269725733e-06,0.0
em_halo_12p40_n45,Shifted QR/SVD,6,6,0,1.77635683940025e-15,1.478779333471098e-06,0.0
em_vertical_12p66_n33,Pointwise eig,6,0,6,1.332267629550188e-15,8.987883398703687,0.02452645380701927
em_vertical_12p66_n33,Partial real-Schur,6,0,6,1.332267629550188e-15,0.002230317914687212,0.02452654531819054
em_vertical_12p66_n33,Shifted QR/SVD,6,0,6,1.332267629550188e-15,1.478779333471098e-06,0.02452654491595901
em_vertical_12p66_n45,Pointwise eig,6,0,6,2.220446049250313e-15,9.260660932637848,0.01952534009410547
em_vertical_12p66_n45,Partial real-Schur,6,0,6,1.332267629550188e-15,5.970314025974948e-05,0.01952535439511218
em_vertical_12p66_n45,Shifted QR/SVD,6,0,6,1.77635683940025e-15,1.909095910416422e-06,0.01952535439520095
em_vertical_12p66_n57,Pointwise eig,6,0,6,1.332267629550188e-15,9.296895770859859,0.0
em_vertical_12p66_n57,Partial real-Schur,6,6,0,1.77635683940025e-15,4.00455336570039e-06,0.0
em_vertical_12p66_n57,Shifted QR/SVD,6,6,0,1.77635683940025e-15,2.091309789151873e-06,0.0
se_active_geometry_member_468,Pointwise eig,6,0,6,1.332267629550188e-15,8.26105160207472,
se_active_geometry_member_468,Partial real-Schur,6,6,0,1.332267629550188e-15,3.651317493717519e-05,
se_active_geometry_member_468,Shifted QR/SVD,6,6,0,1.332267629550188e-15,1.909095910416422e-06,
