schema_version,run_id,case_id,family,member_id,system,backend,backend_version,spectral_samples,internal_selected_block_dimension,independent_selected_block_dimension,dimension_agreement,internal_selected_spectrum,independent_selected_spectrum,spectrum_relative_error,internal_relative_imaginary_part,independent_relative_imaginary_part,invariant_subspace_principal_angle_max_deg,invariant_subspace_principal_angle_mean_deg,principal_angle_tolerance_deg,internal_partial_schur_residual,independent_partial_schur_residual,independent_schur_orthogonality_residual,internal_bundle_invariance_residual_max,independent_bundle_invariance_residual_max,independent_bundle_invariance_residual_mean,bundle_residual_order_difference,internal_multiplier_estimate,independent_multiplier_estimate,multiplier_relative_error,internal_classification,independent_classification,classification_agreement,internal_research_status,independent_research_status,status_agreement,internal_runtime_seconds,independent_runtime_seconds,validation_verdict,validation_notes,registry_sha256,input_operator_sha256,source_cocycle_sha256,source_git_commit
independent_schur_backend_comparison_v1,20260716T065548Z,em_halo_12p40_n21,earth_moon_l1_quasi_halo,12p40_n21,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),21,1,1,true,1532.0848631191193+0j,1532.0848631191168+0j,1.6324881800500445e-15,0,0.0,1.9090959104164224e-06,3.208937613961598e-07,0.0001,2.239913689305098e-15,3.5298812823498733e-15,5.329070518200751e-15,8.121598454661443e-06,8.121598455354016e-06,5.215253346557122e-06,3.703437556623612e-11,1532.084863083109,1532.084863083109,0.0,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,true,boundary,boundary,true,0.0427758999994694,0.1041796,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,5F59626A2D31124CAA2F5850603F9942FEFF43B04579BCDF5EF72BBF41CCEAEF,479519E12EB6900ECED48D02507BD7968AEC56385B770AA0AB866C174B6E9211,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,em_halo_12p40_n33,earth_moon_l1_quasi_halo,12p40_n33,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),33,1,1,true,1532.0837475910928+0j,1532.0837475910937+0j,5.936324977031666e-16,0,0.0,1.4787793334710982e-06,3.287479305265868e-07,0.0001,3.178503290360009e-15,3.5077067247862587e-15,1.3322676295501878e-15,2.053713400702783e-08,2.0537134529909708e-08,1.2368422901898379e-08,1.1057273319181604e-08,1532.083747591094,1532.0837475910942,1.4840812442579155e-16,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,true,accepted,accepted,true,0.0844106999993528,0.0291952,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,9D14426CE9996E4BB91DD588CBB8D38F232150D2C627F230FBD1A6C618A2ECEB,42C87DAAE6FEB844B71DC032705321EC181C841A2E3035AFE3011B9381F15D0A,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,em_halo_12p40_n45,earth_moon_l1_quasi_halo,12p40_n45,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),45,1,1,true,1532.0837528438569+0j,1532.0837528438594+0j,1.6324893630867022e-15,0,0.0,1.4787793334710982e-06,2.5402431755296877e-07,0.0001,2.400531478622206e-15,3.5401504742500477e-15,2.220446049250313e-16,5.998696454080925e-11,5.998631280759014e-11,3.6955198649798995e-11,4.718453091356878e-06,1532.083752843856,1532.0837528438558,1.4840812391697303e-16,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,true,accepted,accepted,true,0.1056647999994311,0.0603799,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,A6943875A55FA4AB72CEB2BAF947803C915752AF04E83B4ACD69CB3CD9F8CF24,0E822BCF9EB3F7EF0837A99B0D153E1A8A6BB9D44F51B048DA747DFEDF07B3F2,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,em_vertical_12p66_n33,earth_moon_l1_quasi_vertical,12p66_n33,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),33,1,1,true,1803.1214050012936+0j,1803.1214050012964+0j,1.5132004410522913e-15,0,0.0,1.2074182697257333e-06,2.4984144436088814e-07,0.0001,3.189542907732432e-15,4.1144934499539815e-15,1.1102230246251565e-15,3.803948785677248e-05,3.8039487857039644e-05,1.915414108995238e-05,3.05000469325023e-12,1803.121404096258,1803.121404096258,0.0,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,true,boundary,boundary,true,0.07325679999848944,0.029847,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,90156304F1E371B1BF5403E04499238775989C9A72B65C92119D9887E2CF474A,41D4E325A20B5BFACB719B06E86A166AF8224D2DBE688542FBF6B6C4EDC4706D,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,em_vertical_12p66_n45,earth_moon_l1_quasi_vertical,12p66_n45,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),45,1,1,true,1806.7777804214786+0j,1806.7777804214782+0j,2.516896963280024e-16,0,0.0,1.4787793334710982e-06,1.9250251393239978e-07,0.0001,5.202841324009731e-15,3.3607661696184957e-15,3.3306690738754696e-15,1.103257920854445e-06,1.1032579201485386e-06,5.133401699189679e-07,2.778781649226403e-10,1806.777780420272,1806.7777804202722,1.2584484816408523e-16,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,true,boundary,boundary,true,0.1259319999990112,0.1133541,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,D4822121F655E72392BFEEC482EA5EE712F026576F87AAD6DA89EA97B322C319,EF4A041D56977E422AE0CB4DDC21617B30B9D7E60414CD5670DBC80EF5A6B717,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,em_vertical_12p66_n57,earth_moon_l1_quasi_vertical,12p66_n57,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),57,1,1,true,1808.1047130985294+0j,1808.1047130985335+0j,2.2635448756529796e-15,0,0.0,1.2074182697257333e-06,2.5206434363111893e-07,0.0001,3.684308042179548e-15,3.759064413777389e-15,4.440892098500626e-16,6.373404342531289e-08,6.37340437985901e-08,3.8805125219739444e-08,2.543573351942996e-09,1808.104713098527,1808.1047130985285,7.545149585509942e-16,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,true,accepted,accepted,true,0.1700209999999061,0.2397758,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,740349AA138F34EE7635A914060385BB89B52A8AE1BC205B3E3FA4B9C065FDA2,31798631369FBC2D03524E6571535E425289275962E291BCA305EC1538AF0E49,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,se_active_geometry_member_468,sun_earth_l1_two_frequency_torus,468,sun_earth,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),21,1,1,true,1204.4384251257088+0j,1204.4384251257056+0j,2.6429175537744995e-15,0,0.0,1.2074182697257333e-06,3.281364283276315e-07,0.0001,2.359904096818786e-15,3.1765118127405234e-15,3.3306690738754696e-16,6.542693099748203e-07,6.542693100222405e-07,4.464051024728798e-07,3.147615501575274e-11,1204.438425125802,1204.4384251258004,1.3214587768871474e-15,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,true,accepted,accepted,true,0.0433379000005516,0.0642713,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,DDFD8745E8FCCAF3E06AACF5207DC2EC71AE048B639BEEC24DD23371C625052A,C54047F64D17F83E99031EFB52D9C14B8D537B44F54BE14EFF7FB1F9CAD60455,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,route_h_member_17,earth_moon_route_h_quasi_dro,17,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),45,2,2,true,0.99979979831659005+0.052141269643547879j;0.99979979831659005-0.052141269643547879j,0.99979979831618349+0.052141269643758176j;0.99979979831618349-0.052141269643758176j,4.572026434638714e-13,0.05208093371039495,0.05208093371062306,2.4148365394514667e-06,9.135602890681396e-07,0.0001,1.792475347013305e-14,2.983486478100838e-14,4.4661312966254065e-15,0.1950707777350608,0.1950707776902014,0.08026423953947312,9.987233262620521e-11,0.9874984011309957,0.9874984011171104,1.4061123854457725e-11,real_2d_complex_pair_invariant_subspace,real_2d_complex_pair_invariant_subspace,true,fail,fail,true,0.1348251000017626,0.3781027,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,1A49F2472983591F74A8A258E91E613DB37E5FE7B5EBDD7A4E5C86A974F922BC,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,route_h_member_32,earth_moon_route_h_quasi_dro,32,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),45,2,2,true,0.914173928117469+0.4696933997560227j;0.914173928117469-0.4696933997560227j,0.91417392811758913+0.46969339975598789j;0.91417392811758913-0.46969339975598789j,1.2168671135835116e-13,0.4569992647280844,0.45699926472800784,2.4148365394514667e-06,7.934379602406006e-07,0.0001,1.366480165220718e-14,2.803493225585997e-14,6.098727969636193e-15,0.4278835886004915,0.42788358862352743,0.15732418386562036,2.3381074854000872e-11,0.6055323264215523,0.6055323264322318,1.7636477612327517e-11,real_2d_complex_pair_invariant_subspace,real_2d_complex_pair_invariant_subspace,true,fail,fail,true,0.1320350000005419,0.1980471,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,AAFF214416D217CEDF12213547AB979EFAEB7D33756AB6280ABE878D637CD3B7,C586EB087CF38D043939BEB9D8E39D4D5ABF25B0917254BB5079FBA9AF0E31BF,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
independent_schur_backend_comparison_v1,20260716T065548Z,route_h_member_54,earth_moon_route_h_quasi_dro,54,earth_moon,matlab_schur_ordschur,MATLAB 24.1.0.2537033 (R2024a),45,2,2,true,-0.99265833707059037+0.13339933821093608j;-0.99265833707059037-0.13339933821093608j,-0.99265833706522033+0.13339933820350203j;-0.99265833706522033-0.13339933820350203j,9.156256357312719e-12,0.1331886699804738,0.13318866997388729,2.561320938754782e-06,7.459029730938379e-07,0.0001,2.550218555652558e-14,3.578772883965982e-14,1.728808349946641e-14,0.1549284657167022,0.15492846419311837,0.0936158022293437,4.270900411107448e-09,0.9943812282237675,0.9943812284330159,2.1043075879618184e-10,real_2d_complex_pair_invariant_subspace,real_2d_complex_pair_invariant_subspace,true,fail,fail,true,0.1702530999991723,0.0437701,accepted,all preset checks passed,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,D515F908D31925F45A6249917E29B96A8D819EF384C5A356CD417D4F096FEB30,BFCF707A4A54C47FB9D5D787ACBE352FE5B146B0811D9AF1337BA19E4B61481A,5ee45fc7ce549ad809dfb3947969b8c83cf06d5b
