schema_version,run_id,case_id,family,method,spectral_samples,dg_dimension,runtime_seconds,peak_memory_mb_estimate,iterations,research_status,registry_sha256,source_git_commit
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n21,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,21,126,0.0187683999993169,0.01943874359130859,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n21,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,21,126,0.0427758999994694,0.383087158203125,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,126,0.1017194999985804,0.3703994750976562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n33,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,33,198,0.04252629999973578,0.031158447265625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n33,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,33,198,0.0844106999993528,0.9330368041992188,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n33,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,33,198,0.1981080999994447,0.9099578857421875,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n45,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,45,270,0.04284379999990051,0.053619384765625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n45,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,45,270,0.1056647999994311,1.728569030761719,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p40_n45,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,45,270,0.201437600000645,1.689102172851562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p09_n15_small,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,15,90,0.01268859999981942,0.01238250732421875,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p09_n15_small,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,15,90,0.01854629999979807,0.2509918212890625,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p09_n15_small,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,15,90,0.05278550000002724,0.2531967163085938,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p097_n9_lowres_negative,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,9,54,0.01374669999859179,0.00968170166015625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p097_n9_lowres_negative,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,9,54,0.008913600000596489,0.09171295166015625,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_halo_12p097_n9_lowres_negative,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,9,54,0.03185589999884542,0.09352874755859375,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n33,earth_moon_l1_quasi_vertical,traditional_pointwise_eigendecomposition,33,198,0.02926550000120187,0.0312957763671875,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n33,earth_moon_l1_quasi_vertical,ordered_partial_real_schur_tracking,33,198,0.07325679999848944,0.9330368041992188,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n33,earth_moon_l1_quasi_vertical,qr_svd_shifted_cocycle_iteration,33,198,0.1546392000000196,0.9099578857421875,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n45,earth_moon_l1_quasi_vertical,traditional_pointwise_eigendecomposition,45,270,0.04465589999927033,0.0537567138671875,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n45,earth_moon_l1_quasi_vertical,ordered_partial_real_schur_tracking,45,270,0.1259319999990112,1.728569030761719,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n45,earth_moon_l1_quasi_vertical,qr_svd_shifted_cocycle_iteration,45,270,0.2361233999999968,1.689102172851562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n57,earth_moon_l1_quasi_vertical,traditional_pointwise_eigendecomposition,57,342,0.06088249999993423,0.0827484130859375,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n57,earth_moon_l1_quasi_vertical,ordered_partial_real_schur_tracking,57,342,0.1700209999999061,2.767936706542969,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,em_vertical_12p66_n57,earth_moon_l1_quasi_vertical,qr_svd_shifted_cocycle_iteration,57,342,0.2673764999999548,2.707656860351562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_68,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001171599998997408,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_68,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1331838000005519,1.741131782531738,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_68,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,6.294973300000493,1.699524879455566,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_17,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001155399999333895,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_17,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1348251000017626,1.739279747009277,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_17,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,6.266421500000433,1.700019836425781,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_32,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001034499999150285,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_32,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1320350000005419,1.739699363708496,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_32,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,6.372964899999715,1.700003623962402,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_54,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001282600000195089,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_54,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1702530999991723,1.739174842834473,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_54,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,6.257540200000221,1.697607040405273,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_68_legacy_dg_positive,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001480200000514742,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_68_legacy_dg_positive,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1458585999989737,1.728462219238281,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,route_h_member_68_legacy_dg_positive,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,4.912986599998476,1.693962097167969,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,se_active_geometry_member_468,sun_earth_l1_two_frequency_torus,traditional_pointwise_eigendecomposition,21,126,0.01715689999946335,0.01615142822265625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,se_active_geometry_member_468,sun_earth_l1_two_frequency_torus,ordered_partial_real_schur_tracking,21,126,0.0433379000005516,0.3822708129882812,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,se_active_geometry_member_468,sun_earth_l1_two_frequency_torus,qr_svd_shifted_cocycle_iteration,21,126,0.0804532999991352,0.3702850341796875,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
invariant_bundle_runtime_scaling_v1,622C929BECB834767763,se_quasi_halo_small_n21,sun_earth_l1_two_frequency_torus,traditional_pointwise_eigendecomposition,21,126,0.01709350000055565,0.01615142822265625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,95a606ef75888fcef7f4d8cb2eedb120efc13b22
